Title,Article Link,Date,Day,Month,Year,Article,Location
"Cannot sell alcohol under the guise of ayurvedic syrup, says Gujarat HC",https://english.gujaratsamachar.com/news/gujarat/cannot-sell-alcohol-under-the-guise-of-ayurvedic-syrup-says-gujarat-hc,2024-04-21,21,04,2024,"In November last year, the Changodar police filed a complaint against Amod Bhave, owner of AMB Pharma, who was allegedly involved in manufacturing  toxic ayurvedic syrup that exceeded the permissible limit of alcohol content. Justice Hasmukh Suthar of the Gujarat High Court dismissed the petition filed by Bhave to quash prosecution against him for selling toxic ayurvedic syrup. “The state of Gujarat follows the ideals and principles of Mahatma Gandhi, has a firm resolve to eradicate alcohol, and has also amended the laws related to intoxicating drugs. The state has also made amendments to the Gujarat Prohibition Act to completely ban them,” said Justice Suthar. “In this case, the petitioner faced charges for selling alcohol under the guise of ayurvedic medicine and applied stickers to bottles that stated below the permissible limit of 11%,” said the Gujarat High Court. “However, the FSL reports revealed that alcoholic substances were more than 12% in the ayurvedic medicine,” HC added. The additional state prosecutor, Manan Mehta, argued, “FIR has been lodged against the petitioner at various places, including Dwarka, Kutch, Rajkot, and Amreli, for selling alcohol under the guise of ayurvedic syrup.” “By selling medicines containing alcohol beyond the permitted limit, he has played with the public’s health.” The Gujarat HC has dismissed the petition of Bhave, which demanded the quashing of the prosecution against him for selling ayurvedic syrup beyond permissible alcohol limits. Also read: Toxic ayurvedic syrup row: Regulatory bodies appeal to tighten regulations",ahmedabad
"Woman constable alleges misbehaviour by cops, HC orders report",https://english.gujaratsamachar.com/news/gujarat/woman-constable-alleges-misbehaviour-by-cops-hc-orders-report,2024-04-21,21,04,2024,"A petition has been filed by a lady head constable in the Gujarat High Court alleging Vadodara police cops of misbehaving with her and her male friend. The HC has ordered the state director general of police (DGP) and Vadodara police commissioner to submit a detailed report on the matter. The woman constable has made an allegation against top officials of her police department—Gorwa police station. “The state DGP and Vadodara police commissioner will have to submit a detailed report on Gorwa police station, including CCTV footage and other materials relating to the case of the petitioner,” said Justice Hasmukh Suthar. “If the woman constable was physically harassed during the night, it is a matter of disappointment,” added Suthar. As per the case details, a woman constable was harassed by the Vadodara police cops. The constable and her male friend were standing on a public road (under the jurisdiction of Gorwa police station) on the night of Apr 9 with a car without a number plate. A local LRD (Lok Rakshak Dal) jawan approached them and asked them ‘why there was no number plate on their vehicle’. The LRD jawan allegedly abused them and demanded ₹10,000. They were then taken to the police station, where the woman constable was put in lock-up without a court order and any crime. Her male friend’s clothes were allegedly removed, and was beaten up by the police. The police confiscated their phones and circulated some of their photos and videos among the staff. The petitioner has alleged that the police then made indecent demands on her. Vadodara DCP questioned The deputy commissioner of police (DCP), Panna Momaya, who was present during the hearing in the High Court, informed the court that an investigation was underway. However, the Court raised serious questions against DCP, saying, “How far is this kind of behaviour of your department’s male cops towards women cops justified?” “What do you want to say about this kind of irresponsible behaviour of the police officers?” The High Court had also seriously criticised the DCP for taking statements from the petitioner’s parents and child in this case. The Gujarat HC has scheduled the next hearing for May 1 and ordered top officials to submit a detailed report. Also read: Resolve regular bail in two weeks, anticipatory in six weeks: Guj HC",ahmedabad
"Father of physiotherapist who died in hit and run case, fights for justice",https://english.gujaratsamachar.com/news/gujarat/father-of-physiotherapist-who-died-in-hit-and-run-case-fights-for-justice,2024-04-21,21,04,2024,"A month ago, 21-year-old Vishwa Shah from Naranpura was declared brain dead following a  fatal accident on Mar 15. The car driver, Dr James Joseph, was given immediate bail after a complaint was lodged. “After completing the last rites, we went to the A Division police station and requested police inspector PB Zala to note the facts of the case where my daughter was dragged for 30 metres after the accident,” said the victim’s father. “The onlookers asked the driver to stop the car, but he did not, being aware of the fact that he was dragging my daughter under his car,” he accused. Vishwa’s father urged PI Zala to add Section 304 of the IPC (culpable homicide) against the car driver, Joseph. However, PI Zala allegedly ignored his plea and rudely refused to add the section to the case. The horrific accident involving physiotherapist Vishwa Shah took place near Keshavbaug in Shivranjani in Ahmedabad, where a car rammed into the woman’s scooter, dragging her for 30 metres. Shah, a physiotherapy aspirant, was rushed to Zydus Cadila Hospital, where she slipped into a coma and was reported to have suffered multiple fractures. She succumbed to her injuries during the treatment on Mar 16. Also read: Physiotherapist dies in hit and run case, car driver surrenders",ahmedabad
Gold worth ₹33 lakh vanishes mid-air on A’bad-Patna flight,https://english.gujaratsamachar.com/news/gujarat/gold-worth-rupees-33-lakh-vanishes-mid-air-on-ahmedabad-patna-flight,2024-04-22,22,04,2024,"Gold theft In an unusual circumstance in the skies, a ₹33 lakh gold parcel transported from Ahmedabad to Patna has gone missing in thin air. As per the complaint at the Ahmedabad Airport police station, four months ago, Jagdish Darji, working as a branch manager at a logistics company in the city’s Ellis bridge area, received cargo from a Rajkot-based jeweller containing gold worth ₹33 lakh. It was scheduled to be delivered to Patna through air cargo. However, the cargo was not received at the Patna airport. The theft is suspected to have taken place between the two airports’ cargo. The police have started investigating, probing the airlines as well as the cargo department, based on CCTV footage. The involvement of air cargo or airline staff is also being suspected. This delivery was taking place through the flight of Indigo Airlines. It is noteworthy that Darji’s company frequently transports gold, silver jewellery, and other valuables locally and to other states through air cargo. Also read: Employee runs away with ₹1.30 worth gold in Ahmedabad Over 108 kg gold worth ₹681 cr seized at Ahmedabad Airport last year",ahmedabad
"Kshatriya Rath Yatra, symbolic fasting, and more to oppose Rupala in Gujarat",https://english.gujaratsamachar.com/news/gujarat/rupala-controversy-echoes-in-ahmedabad-with-gandhian-protest-by-women,2024-04-22,22,04,2024,"As Kshatriyas have upped their protest against Parshottam Rupala and BJP, Kshatriya women has commenced a symbolic fast in Ahmedabad, with the demand for the cancellation of Rupala’s candidature from the Lok Sabha Elections 2024. 21 Kshatriya women on Apr 20 observed a symbolic fast at the Rajput Bhavan in Ahmedabad’s Gota. According to the Kshatriya core committee, the fasting is likely to continue till May 7, the day of the election in the state. A meeting has also been held by the core committee in this regard on Apr 22 at Rajput Bhavan, in the presence of various Kshatriya community leaders including Maldhari, Kathi, Darbar, and Thakor communities. A strategy to protest against BJP is supposed to be discussed in the meeting. Not only that, on Apr 24, a district-level Rath Yatra will reportedly be organized to protest against the ruling party in Gujarat, and appeal will be made to the public not to vote for the BJP. Also read: Anti-Rupala stir by Kshatriyas turns anti-BJP across Gujarat",ahmedabad
AMTS bus driver flees after killing two-wheeler driver in Ahmedabad; nabbed,https://english.gujaratsamachar.com/news/gujarat/amts-bus-driver-flees-after-killing-two-wheeler-driver-in-ahmedabad-nabbed,2024-04-23,23,04,2024,"AMTS accident Distressing visuals emerge today of a gruesome fatal accident between an AMTS bus and a two-wheeler that took place on Apr 19 in the Behrampura area of Ahmedabad. Navin Patel, a resident of the city’s Maninagar area, was crossing the road on his two-wheeler near the Bhulabhai Park crossroad when an AMTS bus oncoming from his left side at high speed rammed into his vehicle. The front and rear tyres of the bus ran over the deceased, killing him on the spot. CCTV footage of this incident has recently surfaced, which shows the AMTS bus driver fleeing the spot after the accident. However, they were later apprehended. 52-year-old Patel, a timber businessman, was returning from  his mill and was en route to his home to collect a file when the unfortunate incident occurred. Private operator-run AMTS buses cause accidents A total of 27 minor and major accidents have been caused by AMTS buses in the city in the last month. These accidents have till now claimed two lives. Ahmedabad’s AMTS buses are run by private operators, which are causing accidents daily. A preliminary investigation revealed that the agency of the bus that caused this accident was Arham Travels. Also read: In the red: Contractors hold keys to AMTS ‘lal buses’ AMTS under scrutiny for granting app development work without contract 13 die in 259 accidents caused by Ahmedabad’s AMTS-BRTS",ahmedabad
India’s first Ahmedabad-Mumbai bullet train to roll out by 2026,https://english.gujaratsamachar.com/news/gujarat/indias-first-ahmedabad-mumbai-bullet-train-to-roll-out-soon,2024-04-23,23,04,2024,"Ahmedabad bullet train under construction A significant progress has been made in the construction of the Ahmedabad section of the bullet train with the target of opening its first in 2026. In an interview with the news agency, the union minister and IT minister Ashwini Vaishnaw said the work on bullet trains is progressing very well on the Ahmedabad-Mumbai route. “More than 290 kms of work has already been done. Bridges have been built over eight rivers. Work is going on at 12 stations. The stations have also come at the same level so that the work is nearing completion,” Ashwini Vaishnaw informed. “The work is going on at two depots. The work is going on at a very fast pace with the complete target of opening its first section in 2026,” he said. The Bullet Train is a very complex project. The work on it started in 2017 and it took almost two-and-a-half years to complete the design. Ahmedabad high-speed railway station Ahmedabad bullet train station is inspired by the historical ethos of the city. The roof depicts a canvas for hundreds of kites whereas the façade is  inspired by Siddique Syed’s jaali. The station is being planned to be built in an area of approx 38,000 sq mtrs over the existing western railway station above platform no 10, 11 and 12. • No of platform: 2 • Height of the station: 33.7 metres from ground level • Concourse slab of 435 m and platform level slab of 150 m is completed Sabarmati bullet train station Sabarmati being the terminal station of MAHSR Corridor is inspired by Mahatma Gandhi’s charkha of Sabarmati Ashram. The station is being planned to be built in an area of approx 45,094 sqm. • No of Platform:  4 • Height of the station: 44 metres from ground level • Foundation work is completed. First floor slab casting work is in progress Bridge on Sabarmati River The bullet train alignment will pass through Sabarmati river in Ahmedabad. Salient features of the bridge are as follows: • Length of the bridge: 480 metres • Width of the river: 350 metres • Consists of spans of 76 m x 5 nos and 50 m x 2 nos • Height of piers: 31 to 33.5 metres • Circular Piers of 6 metres and 6.5 metres diameter • The bridge is in between Sabarmati and Ahmedabad bullet train stations • The foundation works are in progress Sabarmati rolling stock depot The depot is being designed based on the experience of Shinkansen depots in Japan. The Sabarmati Rolling Stock depot is the largest of the three depots with an area of about 83 hectares. It will have state-of-the-art equipment for both light and heavy maintenance of train sets with inspection bays, washing plant, workshop, sheds, stabling lines, etc. The workshops at Sabarmati depot shall feature some of the largest industrial sheds. The OHE (overhead equipment) foundation work and RCC (reinforced cement concrete) works for the administrative building is in progress. (With inputs from IANS) Also read: A’bad-Mumbai bullet train to be launched in 2026: Minister Ashwini Vaishnaw Bullet train to cut Mumbai-Ahmedabad travel to two hours",ahmedabad
Guj HC slaps ₹20 lakh fine on GPCB over neglect in Dwarka pollution case,https://english.gujaratsamachar.com/news/gujarat/gujarat-hc-slaps-rupees-20-lakh-fine-on-gpcb-over-neglect-in-dwarka-pollution-case,2024-04-24,24,04,2024,"Guj HC The Gujarat High Court has slammed the Gujarat Pollution Control Board (GPCB) for its laxity in handling a pollution case involving RSPL Ltd, a company that allegedly discharged hazardous effluent, causing widespread air, land, and water pollution in Kuranga village in Devbhumi Dwarka. The divisional bench, comprising Chief Justice Sunita Agrawal and Justice Anirudha P Mayee, imposed a fine of ₹20 lakh on GPCB for its “gross negligence” in its duty. The court also directed GPCB to pay this amount to the affected farmers as compensation for the loss of their land and crops, as well as for the mental harassment and legal expenses they incurred due to the pollution. The court also ordered the GPCB chairman to take action against the responsible officers involved in the case and initiate an inquiry against them. The court further directed that the amount of the fine should be recovered from the errant officers who have shown negligence. In addition, the court ordered a departmental inquiry against such errant officers. The High Court also ordered action against RSPL Ltd for such blatant violations of environmental laws. The court also directed GPCB to follow the audit report and recommendations of Dharmsinh Desai University (DDU), Nadiad, for making the land of the affected farmers cultivable again. Dwarka farmers’ plight reaches High Court Advocate Anshin Desai, appearing for the petitioner farmers, submitted that RSPL Ltd had set up a soda ash plant near the petitioners’ fields and land in their village. The company was allegedly discharging its hazardous and chemical-laden effluent and polluted water directly into the seacoast, 1 km away, and on the surrounding lands. A canal built for the disposal of effluent suffered damages and failed to be maintained. This caused all the polluted water to fill the surrounding fields and the land of the petitioners. This left their lands barren and unproductive. The petitioners have tried reaching the authorities, including GPCB, since 2016–17, demanding immediate and effective action, but the board has only issued notices and imposed token fines without taking any concrete action. The DDU and GPCB’s site inspection reports also clearly stated that the company’s hazardous effluent had caused very serious air, water, and soil pollution. GPCB’s argument in Dwarka pollution case GPCB defended itself by saying that it had taken action in the case, from issuing notices to the company to imposing fines and even issuing closure orders. The High Court, therefore, pinpointed a few questions to the GPCB: “Why did GPCB officials remain inactive for four long years despite repeated pleas from the petitioners and their cognizance of the situation? Why was no strict action taken at that time? Did you only wake up after the court’s intervention and directions over the petitioners approaching the High Court and their agricultural land becoming barren and destroyed? It clearly shows that the GPCB officials have shown gross negligence and indifference in their duty.” Also read: GPCB doesn’t bat an eye even after 4605 factories in Gujarat break environmental norms AMC discharges untreated sewage into Sabarmati, reveals GPCB report",ahmedabad
Tennis player Madhwin Kamath accused of defamation,https://english.gujaratsamachar.com/news/gujarat/tennis-player-madhwin-kamath-accused-of-defamation-in-ahmedabad,2024-04-24,24,04,2024,"Madhwin Kamath The cybercrime branch of the Ahmedabad police have booked city-based international tennis player Madhwin Kamath for allegedly taking a woman’s photo from social media and making it public with her phone number on it. The complaint was filed by one of Kamath’s acquaintances, a 22-year-old woman residing in the city’s Satellite area, who says he created the obscene poster in a bid to defame her. Kamath, who is currently playing in an international tournament in France, will be quizzed upon his return to the country, an official said. Kamath is also being seen as a potential flight risk, since he has been informed about the complaint. However, the crime branch has made adequate preparations to preempt any attempts by the accused to abscond while abroad, this person added. Personal enmity? Police say the complainant had been harassed by incessant calls from unknown numbers, all asking for “indecent services” for 20 days, when she found out that someone had taken one of her pictures from Instagram, and turned it into a poster with her phone number on it. She then went to the cops who, during a primary investigation, found CCTV footage from the three areas where the posters had been put up. One of the clips showed a young man on a scooter pasting the poster. When the complainant was shown the clip, she identified the suspect as Kamath. Officials say this CCTV footage is the strongest piece of evidence in the case. While personal enmity is currently being seen as the most likely motive in this case, the police are still investigating further, they add.",ahmedabad
"Clean drinking water scarcity plagues Ahmedabad, 33K complains in one year",https://english.gujaratsamachar.com/news/gujarat/clean-drinking-water-scarcity-plagues-ahmedabad-33k-complains-in-one-year,2024-04-24,24,04,2024,"With a total of 33,139 complaints received in a year from 48 wards of the city, drinking water in Ahmedabad remains an issue for the Amdavad Municipal Corporation (AMC). The highest number of complaints regarding the polluted drinking water were received from Khadiya ward with 2,255, followed by Saraspur with 2,027, Nava Vadaj with 1,810, and Danilimda with 1,277 complaints within a year. Despite a mammoth outlay of ₹12 crore for the Amdavad Municipal Corporation (AMC) budget, Ahmedabad’s administration has failed to provide basic, clean drinking water to the citizens. With the increasing complaints of polluted water in Ahmedabad, cases of waterborne diseases are also on the rise. In April 2024, a total of 13 cases of jaundice, typhoid, and cholera had been reported in the city. Every year, despite large spendings on pollution-related issues, complaints have been  pouring in from the same area. Over the past two years, the AMC has plans for replacing the old water and drainage lines in six wards of the central zone, including the walled city. Recently, a tender was announced to replace the water and drainage lines in the six wards of the central zone at a cost of ₹333 crore. However, despite such mammoth expenditures, citizens await clean drinking water in Ahmedabad. Also read: Unsafe water, diseases grapple areas of Ahmedabad",ahmedabad
