Title,Article Link,Date,Day,Month,Year,Article,Location
Navratri turns violent as 16-year-old stabbed late at night in Ahmedabad,https://english.gujaratsamachar.com/news/gujarat/navratri-turns-violent-as-16-year-old-stabbed-late-at-night-in-ahmedabad,2024-10-04,4,10,2024,"On the first night of Navratri, a 16-year-old boy was stabbed during a brawl at a tea stall in Ahmedabad’s Thaltej. The incident occurred around 1.30 am near the Rajwadi Tea Stall, close to the Bagban Party Plot in the Thaltej area. According to the complaint filed by the victim’s father, Narayanbhai Bharwad, 45, his son Krish was out with two friends for a late-night snack after attending a garba event. While they were having tea, Krish accidentally bumped into an unidentified man, triggering a heated verbal altercation. The argument escalated quickly when the stranger’s friends joined in, hurling abuses at Krish. As tensions flared, the group began punching him. In the midst of the chaos, one of the attackers pulled a knife from his shoe and stabbed Krish multiple times in the chest and on his left hand. The trio fled the scene as a crowd gathered. Krish was rushed to Sola Civil Hospital for treatment, where doctors have confirmed that he is in stable condition and recovering. S M Patel, Assistant Commissioner of Police(ACP) N division, stated that: “We have launched a thorough investigation into the matter. Our team has already recovered CCTV footage from the crime scene and is working to identify and apprehend the individuals responsible.” Neeraj Badgujjar, Additional Commissioner of Police, Sector-1, stated, ""We have arrested one accused in the matter, while the main accused and his accomplice will soon be apprehended."" The arrested individual has been identified as Jayesh Vasubhai Vermaji, 18, a resident of Ghatlodia. The main accused, who stabbed the victim, is identified as Abhimanyu, also known as Kancho, a resident of Ghatlodia, Ahmedabad, while the second accomplice has been identified as Vishal, a resident of Vastrapur. Badgujjar further clarified that the incident was not related to Navratri. Also read: Man rams SUV into security guard, gets revenge for father's death 22 yrs ago AMC demolished 200-yr-old historic wall to favour builder, alleges Congress",ahmedabad
Controversy surrounds appointment of Manan Dani to GU executive council,https://english.gujaratsamachar.com/news/gujarat/controversy-surrounds-appointment-of-manan-dani-to-gu-executive-council,2024-10-04,4,10,2024,"Manan Dani The Gujarat University (GU), based in Ahmedabad, recently appointed Manan Dani as a nominee member of the Executive Council representing the Gujarat Chamber of Commerce and Industry (GCCI). However, this appointment has come under scrutiny, with allegations that it was made without the knowledge or consent of the GCCI. In a letter to GU, the GCCI stated that they did not send any nominations for the position. This has raised questions about the legitimacy of the appointment and its adherence to established protocols. The Executive Council of GU was formed on November 6, 2023, under the Gujarat Public Universities Act, 2023. Out of the 22 positions, only 11 members were initially appointed, leaving 50% of the seats vacant. Recently, GU Vice Chancellor Dr Neerja Gupta exercised her authority to appoint two additional members. Manan Dani, who currently holds a position in the BJP’s IT cell, was appointed as the GCCI representative on the council. Reacting to this, GCCI’s additional secretary-general wrote to GU, clarifying that they had not nominated anyone for the Executive Council. The letter urged GU to send a nomination to GCCI for the position, which would then be forwarded to GU for consideration. Following this correspondence, reports have emerged indicating that a council meeting was recently held at GU, where this contentious issue was discussed in detail.",ahmedabad
"NRI promised partnership in fake defence project, case filed with PMLA",https://english.gujaratsamachar.com/news/gujarat/nri-promised-partnership-in-fake-defence-project-case-filed-with-pmla,2024-10-04,4,10,2024,"The Enforcement Directorate (ED) has filed a complaint under the Prevention of Money Laundering Act (PMLA) against nine individuals, including the main accused Neeraj Shah, in the Ahmedabad Rural PMLA Court. The case involves a massive fraud of ₹45 crore under the pretext of launching a project with the Ministry of Defence. The court has issued summons against  Neeraj Shah, Jainam Shah, Rupal Shah, HarshitaRawal, Mehmoodkhan Malik, Vinodkumar Sanghvi, Kalpesh Shah, and the companies Pal Cospo India Limited, Rising Trade Link Limited. The case came to light when an NRI from Oman, Manbhupindersingh Atwal, filed a complaint at the Vadaj police station, alleging that Neeraj had defrauded him of ₹45 crore in total by promising a partnership in a defence project in 2014. Following this, the ED began its investigation and seized properties worth ₹15.59 crore from the accused. Advocate Sanjay Thakkar, representing the ED, stated that Neeraj had lured Atwal into investing in a defence project in 2014, initially estimated at ₹20 crore. However, the accused later extorted a total of ₹45 crore from Atwal under the guise of the project. Following the ED’s submission in the PMLA case provision act, the court has issued summons against the accused. The next hearing is scheduled for October 25 Also read : GIFT land scam: Land sold on fake power of attorney of Nadiad farmer",ahmedabad
"Man rams SUV into security guard, gets revenge for father's death 22 yrs ago",https://english.gujaratsamachar.com/news/gujarat/man-rams-suv-into-security-guard-gets-revenge-for-fathers-death-22-yrs-ago,2024-10-04,4,10,2024,"A man seeking revenge for his father’s death that happened 22 years ago in Rajasthan, allegedly rammed his SUV into a security guard in Ahmedabad after planning it for days, killing the guard. Takhatsinh, a security guard at a party plot in Bodakdev, was struck by an SUV when he was riding to his work on a bicycle. The incident occurred around 10 am on October 1, resulting in Takhatsinh’s death on the spot. Eyewitnesses quickly apprehended the jeep driver, identified as Gopalsinh, and handed him over to the N Division Police Station. Initially registered as a road accident, the case took a turn when suspicion arose due to the shared Rajasthan origins of both the victim and the driver. Upon reviewing CCTV footage, police discovered that Gopalsinh had been waiting for Takhatsinh and deliberately rammed into him. The lack of remorse on Gopalsinh’s face further fuelled suspicion, prompting a deeper investigation. During interrogation, Gopalsinh revealed a shocking motive, a 22-year-old revenge. In 2002, a quarrel between Harisinh, Gopalsinh’s father, and Takhatsinh in Jaisalmer, Rajasthan, led to Takhatsinh running over Harisinh with an SUV. Takhatsinh was sentenced to jail for the incident. After serving his sentence, he moved to Ahmedabad three years ago, fearing that he would be killed in Rajasthan. Determined to avenge his father’s death, Gopalsinh meticulously planned the murder. He purchased a Bolero from Deesa three days prior and conducted a full recce of the area. On the morning of October 1, he executed his plan in the same manner as his father had been killed by Takhatsinh years earlier. The police had initially registered a road accident case which now has been reclassified into a murder case. Further investigation is on. Also read : Gujarat builder allegedly kills son-in-law suspecting foul play in daughter’s death",ahmedabad
Short circuit causes fire at Government Polytechnic in Ahmedabad,https://english.gujaratsamachar.com/news/gujarat/short-circuit-causes-fire-at-government-polytechnic-in-ahmedabad,2024-10-04,4,10,2024,"A fire broke out at the state’s largest and oldest Government Polytechnic at Ahmedabad’s Ambawadi on the morning of October 3 due to a short circuit, causing it to catch fire. There was no major loss of life or property as the main power supply was switched off after a fire alarm was sounded. The fire started in the lobby outside the civil department, causing panic hours after the classes had just begun for the day. A short circuit led to other cables catching fire and the students were called outside their classes. As the computer lab of the institute is near the classrooms of the civil department, the power circuit of the lab was also damaged in the fire. The lab, therefore, was shut down and there was a power loss in the civil department of classrooms. As a result, the institute said the lab would not be operational for two days. According to reports, as soon as the smoke spread, the staff rushed to the fire alarm and the fire was extinguished by the fire safety equipment. The principal of the Government Polytechnic said that there are enough fire safety equipment and a fire safety system has been installed at a cost of ₹35 lakhs at the institute. Also read: Massive fire erupts at fabric godown in Ahmedabad Fire breaks out at warehouse in Ahmedabad’s Pankore Naka",ahmedabad
Our heads hang in shame: Guj HC on pregnant woman dying due to lack of roads,https://english.gujaratsamachar.com/news/gujarat/our-heads-hang-in-shame-guj-hc-on-pregnant-woman-dying-due-to-lack-of-roads,2024-10-05,5,10,2024,"A pregnant woman lost her life before reaching the hospital due to a lack of road in Chhotaudepur. Considering the seriousness of the entire incident, the Gujarat High Court took a suo moto cognizance. During the hearing on October 3, the court described the incident as shameful. The bench, consisting of Justices Biren Vaishnav and Nisha Thakor, said that their heads hang in shame due to such incident. During the hearing, the court criticised the state government and said that we talk about development, but the government cannot even build a road in such a place. We can build tunnels in Jammu and Kashmir but cannot provide roads to villages. Justice Biren Vaishnav, sharing his personal experience, said that while visiting Rajpipla as the Chairman of the Legal Services Authority, it was extremely difficult to travel. Two kilometres further from Rajpipla, you would not find motorable roads. Just 15 km away from the Statue of Unity, there are no State Transport bus services, which is a distressful situation. “Think about the father of the children who has lost his wife,” the court said. The High Court directed the Gujarat Chief Secretary to reply to the court on this matter by October 17. A copy of this court order may also be sent to the Advocate General. Also, the Member Secretary of the Gujarat Legal Service Authority will contact the District Legal Service Authority and visit the family of the victim in this incident. Apart from this, the problems of other people living in the village will also be investigated, directed by the court. Also read: No roads, no facilities: Pregnant woman dies during childbirth in Chhotaudepur",ahmedabad
Swaminarayan saint’s viral video calling Navratri as ‘Loveratri’ sparks outrage,https://english.gujaratsamachar.com/news/gujarat/swaminarayan-saints-viral-video-calling-navratri-as-loveratri-sparks-outrage,2024-10-05,5,10,2024,"A viral video of a Swaminarayan monk went viral and stirred up controversy, as he was seen calling Navratri as ‘Loveratri’ and a nine-day fashion show. The video has caused widespread controversy, considering the importance of the festival of Gujarat. In the video, Sadhu Anupam Swaroop Swami of the Swaminarayan sect also says that the festival has gone from worshipping goddess to a festival of lust. He was also seen backing the thought that ‘Navratri causes divorces’. He further goes on to say that Navratri, which has come to be known as the identity of the Gujarati people, has not become Loveratri, indicating that the worshipping aspect of the festival is being forgotten. The women who are supposed to be worshipped during these days are reduced to a means of entertainment, like a rabbit among the hungry wolves. The viral video and the statements from Anupam Swaroop Swami have brought a lot of criticism both online and offline. Also read: Bajrang Dal-VHP workers create ruckus at garba event in Gandhinagar, police resort to lathi charge Navratri shame: Minor out to play garba raped by three in Vadodara",ahmedabad
Three Thai women booked for breaching visa regulations in Ahmedabad,https://english.gujaratsamachar.com/news/gujarat/three-thai-women-booked-for-breaching-visa-regulations-in-ahmedabad,2024-10-05,5,10,2024,"The CID Crime registered a case regarding unethical human trafficking under the guise of massage services at a spa in Bodakdev. According to reports, three women from abroad were allegedly brought to India under the pretence of business visas, violating visa conditions. The CID Crime raided ‘The Thai Spa’ near Atithi Dining in Bodakdev. The owner, Mahavir Nayak (resident of Satellite Park, Jodhpur Crossroads), was found to be inviting Thai women to work as therapists, while allegedly engaging them in prostitution. The police discovered the three Thai women who were residing in an apartment near Palladium Mall and had come to India on business visas. Nayak approached the three women via an agent and offered a monthly salary of ₹50,000. However, he was paying them ₹20,000 and was collecting the rest of the money through tips from clients. A police official from CID Crime stated that since the women had breached visa regulations, they would be processed under the Foreign Act and sent back to their country. Also read: CID Gujarat cracks down on trafficking racket: 22 cases filed at 13 locations",ahmedabad
Gujarat High Court considering stern steps against helmet-rule violators,https://english.gujaratsamachar.com/news/gujarat/gujarat-high-court-considering-stern-steps-against-helmet-rule-violators,2024-10-05,5,10,2024,"Not wearing a helmet may invite a plethora of trouble from now on, including cancellation of a driver's licence and departmental inquiry against government employees. The changes, suggested by the Gujarat High Court during a hearing, also include wasting the time of the offender to make them late to their destination! During the hearing of a public interest litigation filed by Advocate Salil Thakor regarding the overbridge from Polytechnic to IIM in Ahmedabad, which has now expanded to include traffic-related issues across the city, a bench of Chief Justice Sunita Aggarwal and Justice Pranav Trivedi suggested the steps. The court said that although helmets have been made mandatory, no rules are being followed. The Chief Justice took photos on the phone and showed the court how no one was wearing helmets except three to four people. The court also considered issuing a circular to make helmets mandatory for all staff working in the Gujarat High Court. During this hearing, the court suggested that since everyone is in a hurry these days, those who are not wearing helmets should be held for 15 to 20 minutes. If they are reprimanded for being late to the office, they will wear it to avoid wasting time. “This should be followed as a pilot project in Ahmedabad, later on in other cities too,” suggested the bench. The court also observed that this is an Ahmedabad-only problem, stating that nobody would be seen without a helmet in places like Delhi. The court directed that check posts should be kept during the office hours of 10.30 am to 11 am and two-wheeler riders not wearing helmets should be stopped.",ahmedabad
Garba organisers in Ahmedabad await fire NOC after two days into Navratri,https://english.gujaratsamachar.com/news/gujarat/garba-organisers-in-ahmedabad-await-fire-noc-after-two-days-into-navratri,2024-10-05,5,10,2024,"Two days after the commencement of Navratri on October 3, garba organisers in Ahmedabad are still deprived of fire no objection certificates (NOC), mandatory to hold the event. After the Rajkot fire incident, the state government made it mandatory to obtain fire NOC for every event. At various party plots in Ahmedabad. The work of approving venues with regards to the fire safety is still ongoing in the city, with over 100 places organising garba this year. Fire retardant paint has been made mandatory on all the temporary structures and cloth mandapams placed on the venue as per the technical requirement for the fire NOC. On the other hand, the in-charge chief fire officer of Ahmedabad, Jayesh Khadia said, since the garba is organised mostly in open grounds in Ahmedabad, fire retardant paint was not required. Only at one place where it was required, the department has implemented it. Till now, 78 fire NOC have been given. Also read: SOG launches crackdown on drug abuse during Navratri in Ahmedabad Navratri turns violent as 16-year-old stabbed late at night in Ahmedabad",ahmedabad
