Title,Article Link,Date,Day,Month,Year,Article,Location
Attempted molestation of minor in Anand adds to agony of Gujarat women’s safety,https://english.gujaratsamachar.com/news/gujarat/attempted-molestation-of-minor-in-anand-adds-to-agony-of-gujarat-womens-safety,2024-10-07,7,10,2024,"Representative image As the state celebrates a festival dedicated to worshipping the nine forms of a ‘goddess’, the women in Gujarat stand far from safety with multiple cases  of rapes, molestation, and exploitation. In yet another incident, an attempted molestation of a minor by a group of individuals has come to light, and concerns over women’s safety in Gujarat continue to rise. In Anand’s Sarsa, three persons tried to molest a minor in the premises of Khadipura Primary School. The minor was out to play garba when the accused drugged her and attempted the heinous act. However, the minor began to scream, prompting the accused to flee from the scene. The girl’s family filed a complaint with the police. The minor was sent to a nearby hospital for medical examination. The incident follows a series of serious crimes against women in Gujarat, as the state is trying to recover from the shocking rape of another minor in Vadodara’s Bhayli. The accused in Bhayli case were apprehended today and were sent for a medical examination. A day before, another principal of a tribal school in Surat’s Mandvi was arrested for molesting students. Before that, a school principal in Dahod was arrested for molesting and killing a six-year-old student . Also read: Navratri shame: Minor out to play garba raped by three in Vadodara",anand
Two held for robbing elderly NRI woman of ₹2.5 lakh gold jewellery in Anand,https://english.gujaratsamachar.com/news/nri-news/two-held-for-robbing-elderly-nri-woman-of-2-5-lakh-gold-jewellery-in-anand,2024-10-19,19,10,2024,"Vidyanagar police arrested two thieves involved in robbing an elderly Non-Resident Indian (NRI) woman in Anand. After checking CCTV footage, the police nabbed Lakhan Raval and Ravi Raval, residents of Kanjari in Kheda, along with ₹2.5 lakh of gold jewellery on Friday. The two accused entered the bungalow of Sudevi Patel, an elderly NRI residing in Yamuna Park Society in Vidyanagar's Nana Bazar, under the pretext of asking for water on October 14. The intruders held Patel hostage, attacked her, and stole gold jewellery worth ₹2.50 lakh before fleeing. The 76-year-old woman was slapped by one of the thieves, and a handkerchief was forced into her mouth to avoid screaming. The person also tied her with a rope he brought along with him and snatched gold chains, and bangles worn by the lady. Jagdish Patel, her husband, who arrived home from the market, found her tied to the railing of the staircase at home. A complaint was registered against the unknown assailant at Vidyanagar police station. Also read: Gujarat: Three men arrested for ₹80 lakh armed robbery in Deesa Armed robbers target 3 stores in US, threaten Indian-origin employee",anand
Anand bullet train mishap: Kin of deceased still await death certificates,https://english.gujaratsamachar.com/news/gujarat/anand-bullet-train-mishap-kin-of-deceased-still-await-death-certificates,2024-11-12,12,11,2024,"Four labourers were trapped, of which two died at the scene, and one more succumbed to injuries at a hospital when section of the elevated construction for the Ahmedabad-Mumbai Bullet Train project collapsed in Anand on Wednesday. Six days later, the families of the victims are still waiting for the death certificates due to the negligence of the local administration. The family of the deceased Kanubhai Solanki from Rajpara shared that doctors at the hospital have not provided a post-mortem report, nor have they answered phone calls. “If we get the death certificate, we can use it for insurance claims, inheritance rights, and land-related matters, but due to the government’s and hospital’s negligence, we still haven’t received the certificate,” Solanki said. Mehul Gadhvi, Talati of Rajpara, stated that he contacted the doctor at Vasad’s Primary Health Centre (PHC) on Monday, but was informed that according to government rules, a post-mortem report takes up to eight days. “The reports for the two deceased from Vasad PHC are still pending, and it will take two to three more days. As for the third labourer, the post-mortem report will come from Vadodara Civil Hospital,” he added. “Once the reports are received, death certificates will be immediately issued and handed over to the families.” The deceased were identified as Prahlad Bariya (resident of Godhra), Ranjitsinh (resident of Bihar), and Ashok Solanki (resident of Rajupura). Kamlesh Gaechi (resident of Vasad) was severely injured. Also read : Project manager of Ahmedabad-Mumbai bullet train served notice for Anand mishap",anand
Anand BJP councillor accused of rape,https://english.gujaratsamachar.com/news/gujarat/anand-bjp-councillor-accused-of,2024-11-18,18,11,2024,"Dilip Prajapati alias Dipu Prajapati, Ward 6 councillor in the Anand Nagarpalika has been named in a complaint of rape and intimidation. The victim’s husband caught him when he tried to force himself on his wife on November 16. Anand Police Inspector V D Zala confirmed that a complaint has been lodged against Prajapati and two of his brothers. The BJP has suspended the councillor after the complaint was filed. However, there have been allegations that the police initially refused to file a complaint in the case since the accused was a member of the ruling party. According to the complaint, the woman — a resident of Prajapati Vas — told the cops that Prajapati first initiated contact with her on the phone. Having built up some level of familiarity via texts and calls, he first raped her at her home in June. He then threatened to kill her if she told anyone of the incident, she said. When she stopped taking his calls, he tried to intimidate her again. On the night November 16, when the woman was alone at home with her two children, Prajapati allegedly entered the woman’s house and attempted to rape her again. This time, he was caught by the woman’s husband. He called his neighbours for help, thrashed the councillor and locked him in a room. Meanwhile, reports say, seven to eight men arrived at the victim’s house in response to Prajapati’s call for help. They warned the area residents against filing a police complaint and took the councillor with them, media reports say. Congress reacts: Women unsafe in Gujarat Police Inspector V D Zala of Anand town police station said that a complaint has been lodged against Prajapati and two of his brothers, and an investigation is underway. Currently, no arrests have been made. BJP has suspended the Ward 6 councillor, Prajapati after a complaint was registered against him. As per reports, 7-8 men reached the spot after Prajapati called backup. The men took Prajapati with them after intimidating the residents and telling them not to file any complaints. The woman’s husband approached the police station to file the complaint. However, at first, the police were reluctant to file the complaint because of the BJP councillor’s involvement. After an uproar at the police station, they finally filed the FIR taking the survivor’s statement. Reacting to the incident, Congress leader Amit Chavda expressed concern regarding the law and order situation in the state and said, “Women are not safe under BJP rule in Gujarat.” Also read: ‘We have five MLAs,’ Nandesari rape-accused BJP worker boasts in viral audio clip BJP worker accused of raping, threatning to kill married woman in Vadodara",anand
"Karamsad resists inclusion in Anand Municipal Corporation, observes shutdown",https://english.gujaratsamachar.com/news/gujarat/karamsad-resists-inclusion-in-anand-municipal-corporation-observes-shutdown,2025-01-06,6,01,2025,"The villagers of Karamsad held a rally on Sunday to protest the inclusion of Karamsad in the newly announced Anand Municipal Corporation. They also called for a shutdown (Karmasad Bandh) on Monday. The villagers demanded that the government reconsider the decision and grant Karamsad the status of a municipal corporation or taluka. They also decided to hold protests in the coming days. The Sardar Samman Sankalp Andolan Samiti, Karamsad, organised a rally at 10 am on Sunday to raise objection to the inclusion, demanding the government to announce the village as an independent entity, to preserve its identity as the birth place of Sardar Vallabhbhai Patel. The villagers believe that the identity and existence of Sardar’s Karamsad will cease to exist if it will be merged with the Anand Municipal Corporation. They also decided to launch a signature campaign and expand the protest statewide. Against the ‘injustice’ of the inclusion of Sardar Patel’s hometown in the Anand Municipal Corporation, all the traders were requested to down their shutters and make the bandh a success. Also read: Gujarat to get nine new municipal corporations, check out the list Jitters in new district: Three talukas refrain from joining Vav-Tharad",anand
Three of family die as boat capsizes in Mahisagar river in Anand,https://english.gujaratsamachar.com/news/gujarat/three-of-family-die-as-boat-capsizes-in-mahisagar-river-in-anand,2025-01-27,27,01,2025,"Representative Image A boat capsized in the Mahisagar river, near Vasad in Anand district, resulting in the death of a man, his son, and nephew. The family is devastated following the loss of three members. According to reports, Naginbhai Gamechi (42), a resident of Kachlapur village, took his son Ayush and nephew Mihir (12) on a boat for fishing in the Mahisagar river near Vasad town in the evening. The boat capsized while they were fishing. Locals reportedly swam into the river and brought the bodies of the deceased to the shore. They were then taken to the Vasad health centre, where doctors declared them dead. The Vasad police and Anand fire brigade later recovered the boat from the incident site. Also read : Mumbai ferry accident: 13 drown, including kids, FIR lodged Gujarat introduces stricter safety rules for boating activities Schools to take permission of commissioner of schools for trips outside Gujarat",anand
Villagers up in arms against sale of Anand land worth ₹114 cr to Rajkot Swaminarayan Gurukul for ₹38 cr,https://english.gujaratsamachar.com/news/gujarat/controversy-erupts-as-rs-114-cr-anand-land-sold-to-rajkot-swaminarayan-gurukul-for-rs-38-cr,2025-02-26,26,02,2025,"Villagers of Kahanvadi village in Anklav, Anand are up against the Gujarat government for allegedly allocating 237 bighas of land, valued at approximately ₹113.76 crore, to Rajkot Swaminarayan Gurukul at a significantly lower price of just ₹37.48 crore for educational purposes. Opposing the decision, the villagers have halted the payment of revenue and warned of protests if the allocation is not revoked. Dispute over land allocation The manager of Rajkot Swaminarayan Gurukul visited the Kahanvadi Gram Panchayat to pay the allocated land’s revenue. Villagers gathered and inquired about the matter following the manager's visit. The manager presented a circular issued by the Anand district collector and the land survey department, stating that approximately 37x38x75 hectares (237 bighas) of government wasteland in Kahanvadi had been allocated for educational use. The government had assessed the land’s value at ₹37.48 crore, as mentioned in the circular. However,  according to the villagers, the value of the land is much higher. So, the villagers refused to accept the revenue payment. After heated arguments, the cheque for the payment was not accepted. During their inquiries, villagers found that the land was allocated to Rajkot Swaminarayan Gurukul without their consent, through a government circular. Villagers estimate that the actual market value of the land is around ₹350 crore, far higher than the price at which it was given away. Demand to revoke land allocation Villagers have temporarily halted the revenue payment and expressed strong opposition, stating that their prior consent was not taken. They argue that this land could be used for public housing. Additionally, since a railway line passes through the village, many small farmers have already lost their land, and no land has been allocated to locals for residential purposes. Villagers plan to submit a petition to the District Collector on Thursday demanding the revocation of the land allocation. They have also warned of protests if their demands are not met. According to local farmers, the government has sold 237 bighas of land at an estimated rate of ₹16 lakh per bigha. However, due to the industrial zone developing nearby, the market price of land in the same area is ₹40lakh-50 lakh per bigha. Based on this market value, the total worth of the 237 bighas would be around ₹113.76 crore. Villagers are outraged that the government has allocated such a valuable piece of land at an extremely low price, calling it an unfair and unjust decision.",anand
"Anand villagers lock panchayat office over 'shady' land deal, Congress hints at BJP MP’s involvement",https://english.gujaratsamachar.com/news/gujarat/anand-villagers-continue-to-protest-against-land-deal-congress-hints-bjp-mps-involvement,2025-02-27,27,02,2025,"Villagers of Kahanvadi village in Anklav, Anand, are up in arms against the Gujarat government for allegedly allocating 237 bighas of land, valued at approximately ₹113.76 crore, to Rajkot Swaminarayan Gurukul at a significantly lower price of just ₹37.48 crore for educational purposes. On Wednesday, over 500 villagers gathered at the panchayat office in Kahanvadi the protest the sale of land. Despite being a holiday on Mahashivratri, villagers halted the payment of revenue. They accused Anand BJP MP Mitesh Patel's involvement in the land deal at a throwaway price. Villagers have decided to shut the panchayat until there is a consensus on the land deal. Starting Thursday, only the computer room will remain open and the revenue room will be shut, so that people of Rajkot Swaminarayan Gurukul cannot pay the revenue. The youngsters of Kahanvadi said, “There is a rule to pay revenue within 30 days, so we will ensure that revenue is not paid before the due date. However, if the revenue payment process is carried out, we will oppose and stop it.” Representations will be made to the Collector and MP. “We, the villagers, will seek information on whose recommendation the land was given to Rajkot Swaminarayan Gurukul and who is involved in the scam. Until a solution is reached, the panchayat will remain locked,” said the infuriated villagers. Villagers to intensify agitation On Monday afternoon, more than 800 villagers are likely to visit the district collector’s office to submit a petition regarding the decision to take back the land. Former chief minister of Gujarat Shankersinh Vaghela said that it is a rule that the government cannot give land to anyone if a gram panchayat or villagers refuse to give their land to the government. “The government has approved the deal secretly through an administrator, which is very shameful. We will raise this serious issue in the Gujarat Legislative Assembly session and oppose the government’s decision,” said Vaghela. Anklav Congress MLA Amit Chavda alleged that he has knowledge of BJP MP Mitesh Patel's role in this land scam. The villagers have also made allegations against the MP. Chavda also promised to raise the issue in the assembly.",anand
BJP leader’s wife and model-influencer Riddhi Suthar found dead in Anand canal,https://english.gujaratsamachar.com/news/gujarat/bjp-leaders-wife-and-model-influencer-found-dead-in-anand-canal,2025-03-21,21,03,2025,"A body of a woman named Riddhi Suthar was found in a canal near Lambhvel in Anand. Mother of one-and-a-half-year old child, Suthar had a love marriage with Boriavi’s BJP leader Rushin Patel and was a social media influencer. According to the information received, the body of Suthar was found in the canal passing near Lambhvel early on Friday morning. Nadiad Rural Police sent the body for postmortem and have conducted further investigation into the matter, and to determine wether her death was a murder or suicide. Notably, Rushin Patel was recently appointed as the executive chairman of Boriavi Municipality.",anand
Amul director & former BJP MLA Rajesh Pathak accused of grabbing over 160 bighas of land,https://english.gujaratsamachar.com/news/gujarat/amul-director-and-former-bjp-mla-rajesh-pathak-accused-of-grabbing-over-160-bighas-of-land,2025-03-23,23,03,2025,")L-R) Kesarsinh Solanki & Rajesh Pathak Former MLA of Matar and chairman of Limbasi Milk Dairy Kesarisinh Solanki has alleged on social media that Amul director and former BJP MLA of Balasinor Rajesh alias Pappu Pathak has amassed 160 bighas of land during his tenure both in the government and Amul. In a viral video on social media, Solanki accused Pappu Pathak of falsely claiming farmland ownership in 2003 through a will, enabling him to gain farmer status. However, a land revenue case was initiated against him in 2007, and on September 20, 2009, it was proved that he was not a farmer. Despite this, on September 4, 2020, Pathak facilitated the succession of his family members—Anita Rajeshbhai Pathak, Kajal Rajeshbhai Pathak, and Parth Rajeshbhai Pathak. Solanki alleged that Pathak now owns over 160 bighas of land across 10 villages, including Vadadala, Karanpura, Balasinor, Handia, Dev, Khedgodhra, Bhatda, Gagheda, Shakariya, and Natwarpura. Solanki also claimed that while Pathak served as an MLA from 2002 to 2007, he has been an Amul director from the Balasinor block for 10  years, from 2015 to 2025. According to him, Amul’s current chairman Vipul Patel is just a figurehead, while the real administration is controlled by Pappu Pathak, leading to growing tensions in cooperative politics. “Pappu Pathak and his family have exploited dairy farmers and accumulated over 160 bighas of land. I will personally file a complaint with the government regarding this in the coming days,” said Solanki. “I have no response to give. He belongs to Congress and can make any accusations he wants. I don’t need to respond to his claims; he keeps talking anyway,” responded Pathak. Also read: Land grabbing case: Absconding accused Dhaval Barot nabbed",anand
