Title,Article Link,Date,Day,Month,Year,Article,Location
"Petrol tanker used to smuggle liquor in Gujarat, caught in Vadodara",https://english.gujaratsamachar.com/news/gujarat/petrol-tanker-used-to-liquor-in-gujarat-caught-in-vadodara,2024-04-22,22,04,2024,"Vadodara petrol tanker A large quantity of liquor being smuggled in a petroleum tanker was busted by the Vadodara Rural local crime branch (LCB) at the toll plaza on the express highway. Acting on a tip-off, the LCB had set up a watch at the toll plaza on the outskirts of the Ajod village. According to the information received, a tanker carrying foreign liquor was dispatched from Vapi towards Valsad, Surat, Bharuch, Vadodara, and heading towards Ahmedabad. The tanker, manned by just a driver, was intercepted on the highway and thoroughly inspected. Upon inspection, a large quantity of foreign liquor worth ₹45.98 lakh was found. The police seized the liquor along with other items worth a total of ₹61.03 lakh. Notably, a Bharat Petroleum tanker was used to smuggle this intra-state liquor consignment. Vadodara liquor smuggle modus operandi The driver, identified as an individual named Khiyaram Jat, a native of Rajasthan, revealed that he met a person named Ganpat, a fellow driver in Gandhidham. Ganpat provided him with a tanker filled with foreign liquor from Vapi and asked him to make contact after reaching Jamnagar. A case has been filed under the Prohibition Act at Vadodara’s Manjusar police station against the accused and his supplier. Also read: Liquor smuggling from Rajasthan buses busted in Ahmedabad Liquor smuggler dozed off in train, nabbed by police in Vadodara Morbi godown raid: biggest SMC bust yet, ₹1.51 cr liquor seized",baroda
Kshatriya youth detained as Rupala controversy reaches CM,https://english.gujaratsamachar.com/news/gujarat/kshatriya-youth-detained-as-rupala-controversy-reaches-cm,2024-04-22,22,04,2024,"Ripples from controversy around Parshottam Rupala, the Bharatiya Janata Party’s Lok Sabha 2024 candidate from Rajkot, has now reached Gujarat’s chief minister, Bhupendra Patel. Vadodara police detained 8-10 Kshatriya youth on Apr 21, in connection with a foiled attempt to intercept CM’s convoy on its way back from a public event at the city’s Jhansi ki Rani maidan. Through the day, as many as 30 people were detained in a bid to ensure that the CM-led event went off without a hitch. Yet, a handful of protesters still managed to bypass the cops’ security arrangements, which included putting Kshatriya leaders in Vadodara under house arrest. Some Congress leaders were also reportedly under the police radar ahead of the event. Recently, “no-entry” posters, targeting the BJP, have sprouted in Vadodara’s Manjalpur and Laxmipura areas. The BJP’s campaign in Gujarat has been marked by protests against Rupala, ever since he made allegedly offensive comments on the Kshatriya community almost a month ago. Rupala ignored detractors to file his nomination papers on Apr 19, adding fuel to the fire. Also read: Kshatriya community clashes with BJP leaders, MLA Ramanlal Vora in Sabarkantha Kshatriya Rath Yatra, symbolic fasting, and more to oppose Rupala in Gujarat",baroda
‘Made in India’ steel bridge for bullet train unveiled in Nadiad,https://english.gujaratsamachar.com/news/gujarat/made-in-india-steel-bridge-for-mumbai-ahmedabad-bullet-train-unveiled-in-nadiad,2024-04-24,24,04,2024,"Railway Steel bridge With India’s first bullet train on track for 2026 launch, a steel bridge of 100m length, a first of its kind, was launched over the main line of the Vadodara-Ahmedabad route near Nadiad, as per a release by the National High Speed Rail Corporation Limited (NHSRCL). Being a technically equipped project, the bridge is constructed under the ‘Make in India’ initiative with indigenous technicalities and materials. Moreover, it is being established with Japanese knowledge prowess. Fabricated at a workshop in Bhuj, almost 310 km away from the location of the bridge launching site, this 1,486 MT (metric tonnes) of steel structure was assembled at a height of 15.5m from the ground on temporary trestles. The steel bridge was pulled with the automatic mechanism of two jacks, each of 180 MT capacity, using high-tension strands. The making of steel bridges underwent technically equipped operations of cutting, drilling, welding, and painting as per the design by Japanese engineering support. Project in a nutshell This project, being built with an investment of ₹1.08 lakh cr, aims to cut the travel time on the 508 km route between Mumbai and Ahmedabad to a mere 2 hours. The Bullet train is expected to touch a maximum speed of 320 kmph. As many as 24 river bridges, 28 steel bridges, and seven mountain tunnels are being erected for the Bullet train route. The corridor will also have a 7 km undersea tunnel. The work on the bullet train project started in 2017, and is on target for completion in 2026, the union railway minister was quoted by agencies as saying. This is the second out of the 28 steel bridges completed for the corridor. The first steel bridge was launched across National Highway 53, Surat in Gujarat.",baroda
Former cricketer Rishi Arothe nabbed from Goa,https://english.gujaratsamachar.com/news/gujarat/former-cricketer-rishi-arothe-nabbed-from-goa,2024-04-24,24,04,2024,"Former cricket player Rishi Arothe, who absconded from the police when on bail, was nabbed by the special operation group (SOG) in Goa. Rishi Arothe was tasked with transferring the amount from Kota’s Swaminarayan Temple to Nashik in Maharashtra. However, he reportedly took ₹1.39 cr out of ₹2 cr he was supposed to transfer through an Angadia service and sent it to his father’s home in Vadodara, where it was seized by the SOG. The amount was collected at the Swaminarayan Temple in Rajasthan’s Kota during the Shatamrit Mahotsav in Gujarat’s Sarangpur. The temple authorities wanted it transferred from the Kota temple to a Swaminarayan Temple and Hostel in Nashik. Meanwhile, a complaint was registered against Rishi Arothe in the Manjalpur police station for extortion of ₹29.75 lakhs and ₹5.27 lakhs in the name of coaching in Raopura police station Manjalpur police had arrested him, however, Rishi absconded after being released on bail, and SOG’s PI VS Patel and team were constantly on the trail. Also read: ₹1.39 cr seized from ex-cricketer’s house turns out to be stolen temple donation",baroda
"Vadodara doctor denies treatment to pregnant patient, sparks online debate",https://english.gujaratsamachar.com/news/gujarat/vadodara-doctor-denies-treatment-to-pregnant-patient-sparks-online-debate,2024-04-25,25,04,2024,"Doctor (representative img) A Vadodara doctor garnered huge attention over a post on his X account after he denied treatment to a pregnant patient who refused to carry out the prescribed scans. As per his X account, Dr Rajesh Parikh practises as a gynaecologist at Madhuvan Maternity and Eye Hospital in the city’s Diwalipura area. Dr Parikh admitted to refusing treatment to the pregnant patient in her 30s and stated the reasons for doing so. He wrote, “I turned away a pregnant patient in her 30s who, ignoring medical advice, refused an NT scan and double marker test (crucial to rule out common chromosomal defects) based on advice from non-medical friends.” Reasoning her “misconceptions” as dictating his treatment methods, he added, “After futile attempts to reason with her, I advised her to seek a doctor who would indulge her misconceptions.” He went on to advise doctors to follow suit, stating, “As a doctor and especially as an obstetrician, never ever let the patient dictate you the treatment/ management. You’ll be the one facing the consequences in court, not them. Just say a blunt no and ask to seek another care giver.” Dr Parikh’s post gathered around 55.8K views on the social media platform, with many replying and reposting his story.",baroda
Municipal commissioner directly responsible for Harni Lake tragedy: Guj HC,https://english.gujaratsamachar.com/news/gujarat/municipal-commissioner-directly-responsible-for-harni-lake-tragedy-gujarat-high-court,2024-04-26,26,04,2024,"Gujarat High Court In a hearing of a suo moto public interest litigation (PIL) on this year’s tragic boat accident in Harni Lake, the Gujarat High Court has held the then Vadodara Municipal Commissioner directly responsible for the loss of the lives of 12 children and two teachers. The divisional bench, comprising Chief Justice Sunita Agarwal and Justice Aniruddha P Mayee, directed the principal secretary of Gujarat’s urban development and urban housing departments to initiate a departmental inquiry against the then Municipal Commissioner of Vadodara Municipal Corporation (VMC) and has asked for a report to be submitted to the court within two months. This is purported to be the first instance of the HC ordering a departmental inquiry against a civic body chief in a suo moto case. High Court’s statements on the Harni Lake tragedy The initial probe revealed that the lake’s contract was awarded on a lease for 33 years at a meagre price to Kotia Projects, a company without any prior experience. Moreover, the contractor was declared ineligible by the VMC itself due to a lack of financial stability in September 2015 but was awarded the contract two months later. The Municipal Commissioner had given in-principle approval to the first contract, but the Standing Committee had rejected its proposal. Within two months, tenders were submitted by two contractors for the second time, out of which Kotia Projects was awarded the contract. Chief Justice Sunita Agarwal raised some critical questions over this: “What happened in two months that a person who was earlier disqualified due to lack of financial capacity and had zero turnover was considered eligible and was awarded the contract directly? How did the contractor become eligible in two months? How did the financial stability of Kotia Projects increase in two months?” However, neither the VMC nor the authorities had a satisfactory answer to these questions raised by the High Court. Also read: Vadodara Harni Lake case: SIT investigation concludes with 2,819-page chargesheet Who is to blame in the Harni Lake tragedy that took so many lives? Harni Lake tragedy: Dipen Shah and Dharmil Shah again sent to judicial custody",baroda
"One dead, over 30 injured in mini truck-tanker collision near Vadodara",https://english.gujaratsamachar.com/news/gujarat/one-dead-over-30-injured-in-mini-truck-tanker-collision-near-vadodara,2024-04-26,26,04,2024,"Vadodara accident Gujarat’s highways turned deadly again as one person lost their life, while over 30 were injured in a collision between a mini-truck and a tanker near Sakarda and Moksi villages on the outskirts of Vadodara this morning. According to preliminary information, around 35 relatives left Adas village in a mini-truck for the city’s Natvarnagar area to attend a family function. While going past Bhadarva village, a tanker approaching from the opposite direction collided head-on with the mini-truck, causing a horrific accident. Passersby and nearby villagers also rushed to the spot. One person was reported dead on the spot in this accident. More than 30 injured family members were initially rushed to a nearby hospital in ambulances for treatment and were later shifted to Sayaji Hospital for further treatment. Bhadarva police have registered a case and started an investigation into the incident. Injured in this accident: Trishna Padhiyar Pravin Darbar Dilip Raj Mahendra Raj Sajan Raj Girish Raj Janak J Raj Maheshwari Raj Juya Bhoi Ummed Darbar Ramila Dilip Mahi Kesar Raj Krishna Jitendra Hansa Raj Madhu Solanki Vaibhav Bhoi Saroj Mali Prithvi Raj Dashrath Raj Sejal Raj Dina Padhiyar Kajal Pansera Dharmishtha Raj Champa Bhoi",baroda
Vadodara BJP corporator’s Facebook hacked; asks for money in return,https://english.gujaratsamachar.com/news/gujarat/vadodara-bjp-corporators-facebook-hacked-asks-for-money-in-return,2024-04-27,27,04,2024,"Parakramsinh Jadeja Hackers are continuing to target the Vadodara BJP faction, as now Vadodara Municipal Corporation (VMC) councillor Parakramsinh Jadeja has become the latest victim of the levelled cyber attacks. Jadeja's Facebook account was hacked by an unknown cybercriminal who demanded money in return. Upon learning of this incident, the corporator immediately filed a report with the Vadodara cybercrime branch. He also informed his followers of the same, advising them not to engage in any financial transactions with the hacked account. This incident follows another digital controversy last month surrounding the Vadodara BJP when its official Facebook account was hacked. The incident left the political discourse buzzing as the hacked Facebook account with over 23,000 followers shared around three obscene videos. Also read: Vadodara BJP account hacked, hackers post obscene videos on feed",baroda
Parents allege school of withholding results over unpaid fees,https://english.gujaratsamachar.com/news/gujarat/parents-allege-school-of-withholding-results-over-unpaid-fees,2024-05-02,2,05,2024,"Vadodara RTE parents protest Parents and guardians of students studying under the Right to Education (RTE) at Shreyas School in Vadodara’s Bagikhana area staged a protest today, alleging that they are being charged a hefty additional activity fee. A demonstration was organised by the ‘All Gujarat Vali Mandal’ (an organisation of students’ parents) outside the school, along with the parents. They levied allegations against the school, stating that no other fee can be charged to students studying under RTE. Despite this, the school is pressuring them to pay ₹6,000 per year as activity and smart class fees. It is also withholding the results of students who fail to do so, the protestors alleged. “We cannot afford to pay such fees,” the group alleged. School principal, on the other hand, said, “A meeting was called with the parents and a proposal was placed before them for activity fees, over which they had agreed. Despite this, 10 to 15 parents later refused to pay the fee.” “They were only under the temperament to wage a fight. We have already given the first-term results to the students who have not paid these fees, and the annual exam results are also to be given today. A separate list for them was to be made. But the parents were enraged,” she said. Also read: Gujarat’s RTE allotment begins today: fewer seats, more hopefuls Right to education: How to apply for free education in Gujarat?",baroda
Doctor Who? Physios up in arms over Congress chief's complaint,https://english.gujaratsamachar.com/news/gujarat/doctor-who-physiotherapists-up-in-arms-over-congress-chiefs-complaint,2024-05-04,4,05,2024,"Physiotherapist Organisations Is a physiotherapist a doctor? Your answer would put on one side of a dramatic protest that unfolded in Vadodara today, when angry physiotherapists took to the streets to demand justice for their hurt feelings. At the root of the furore is the allegation that physiotherapist Hemang Joshi, Bharatiya Janata Party (BJP) candidate for Lok Sabha 2024, is not really a doctor. The complaint, filed by Rutvij Joshi, Vadodara Congress president, states that the other Joshi violated the model code of conduct at a May 3 election rally. It says he used the title of “Doctor” falsely, in an attempt to manipulate and misguide voters, and gain public sympathy ahead of the vote on May 7. Hemang Joshi’s affidavit submitted to the election commission omits the prefix, which is nevertheless found across his campaign materials. The complaint, filed with the district collector, cites Indian Medical Association guidelines. The IMA website, citing a Supreme Court ruling from 1998, says: “physiotherapists are not allowed to portray themselves as registered medical practitioners by prefixing the word ‘Dr’ with their name.” Only those who have successfully completed an MBBS degree may use the term to denote their role as medical practitioners, it says. But local physiotherapist groups are having none of it. Bearing banners and placards at a protest near Chakli Circle in the city’s Alkapuri area today, they  demanded that the Congress chief apologize and withdraw his complaint against the young BJP contender. The BJP stand is based on a resolution by the Indian Council of Physiotherapy allowing its members to use the term. Joshi’s nomination, a last-minute addition to the BJP ticket, came after incumbent MP Ranjan Bhatt decided not to run this year over personal reasons. Hemang Joshi goes up against Jashpalsinh Padhiyar from the Congress, which seems desperate to regain its historical influence in a constituency that has seen BJP dominance since the late 1990s. Also read: Vadodara BJP drama prevails, Savli leaders opposes Dr Hemang Joshi’s candidature",baroda
