Title,Article Link,Date,Day,Month,Year,Article,Location
Guj CM Bhupendra Patel to lead BJP campaign in Telangana on Apr 25,https://english.gujaratsamachar.com/news/national/gujarat-cm-bhupendra-patel-to-lead-bjp-campaign-in-telangana-on-apr-25,2024-04-24,24,04,2024,"Bhupendra Patel Gujarat chief minister Bhupendra Patel is set to visit Telangana on Apr 25 to campaign for BJP candidates ahead of the forthcoming Lok Sabha elections in the state. During his visit, the chief minister will attend the Karimnagar nomination-filing event of BJP candidate Sanjay Kumar Bandi, early in the day. Later, Patel is scheduled to address an election rally in the Kurnool Lok Sabha constituency in support of Bharat Prasadji. The CM is expected to outline the party’s vision and commitments for the region. After a full day of campaigning, Patel will return to Gandhinagar in the evening. Meanwhile, in Gujarat, Patel asserted in Kutch that voters will have clear choices for the first time as they head for polls. At the election rally in Nakhatrana in Kutch on Apr 22, Patel noted, “For the first time, voting will be conducted with clarity. Therefore, everyone anticipates that PM Modi will secure a third term as prime minister.” (Source: IANS) - Edited for style Also read: Kshatriya youth detained as Rupala controversy reaches CM Gujarat CM, cabinet leaves for Ayodhya Ram temple visit",gandhinagar
BJP battles Kshatriya community’s angst across Gujarat amid Rupala row,https://english.gujaratsamachar.com/news/gujarat/bjp-battles-kshatriya-communitys-angst-across-gujarat-amid-rupala-row,2024-04-24,24,04,2024,"Rupala controversy Growing angst among the Kshatriya community in Gujarat against union minister Parshottam Rupala is escalating the difficulties of the state’s BJP (Bharatiya Janata Party) faction. The BJP’s party workers and candidates are facing obstacles in campaigning, resulting in frequent changes in routes and schedules. In Anand’s Umreth taluka, the BJP faced severe opposition while campaigning, where a large number of Kshatriyas gathered and protested against Rupala and the saffron party. A group of Kshatriya community members also expressed their outrage near Umereth’s Choravaga temple, where BJP workers had to resort to fleeing the spot. Placards and fliers opposing Rupala were also put up in Umreth about fifteen days ago. Women of the Rajput community in Umreth had also vowed to vote against the BJP. Rupala stoked a controversy on Mar 22 after he said at a public event that the erstwhile ‘maharajas’ broke bread with the British and also married off their daughters to them. The statement invited the wrath of various Kshatriya organisations. However, Rupala has submitted a public apology over his statements. But it failed to dampen the outrage against him. Kshatriyas outraged in Sabarkantha North Gujarat’s Sabarkantha Lok Sabha constituency also saw the saffron party facing flak from the Kshatriyas. Shobhna Baraiya, the BJP’s candidate from Sabarkantha, was opposed heavily by the Kshatriya community while campaigning in Himmatnagar’s Hapa and Dedhrota villages on Apr 23. Also read: Battle lines drawn in Rajkot as Cong’s Dhanani steps up to contest against BJP’s Rupala CR Patil urges Kshatriya community to forgive Rupala Rupala faces backlash in Gujarat over his remarks on Kshatriya community",gandhinagar
"Congress announces star campaigners list for Guj; Gandhis, Kharge included",https://english.gujaratsamachar.com/news/gujarat/congress-announces-star-campaigners-list-for-gujarat-gandhis-mallikarjun-kharge-included,2024-04-24,24,04,2024,"Congress Star Campaigners As the state is set to cast its vote for the general elections this year on May 7, Congress has announced its list of star campaigners for Gujarat on Apr 23. 40 Congress leaders, national and local, are set to address rallies and conventions across the state ahead of the third phase of polling in the state. The grand old party (GOP) will see the advent of party president Mallikarjun Kharge, as well as other stalwart leaders including Rahul Gandhi, Sonia Gandhi, KC Venugopal, Priyanka Gandhi Vadra, Ashok Gehlot, and Sachin Pilot, among others. Locally recognised leaders of the party, including state chief Shaktisinh Gohil, Amit Chavda, Jagdish Thakor, Paresh Dhanani, Jignesh Mewani, Bharat Solanki, Siddharth Patel, Amee Yajnik, Shailesh Parmar, and Mumtaz Patel, among others, will also join the state-wide campaigning programmes. List of Congress star campaigners in Gujarat: Mallikarjun Kharge Sonia Gandhi Rahul Gandhi KC Venugopal Mukul Wasnik Priyanka Gandhi Vadra Ashok Gehlot Randeep Singh Surjewala Shaktisinh Gohil Amit Chavda Sachin Pilot Jagdish Thakor Bharat Solanki Siddharth Patel Dipak Babaria Amee Yajnik Shailesh Parmar Ramkishan Ojha Usha Naidu Lalit Kagathara Indravijaysinh Gohil Jignesh Mewani Kadir Pirzada Gaurav Pandya Paresh Dhanani Sukhram Rathwa Mumtaz Patel Lalji Desai BV Srinivas Alka Lamba Imran Pratapgarhi Vimal Chudasma Dinesh Thakor Chandrika Chudasama Madhusudan Mistry Punja Vansh Gyasuddin Shaikh Indranil Rajguru Raghu Desai Nishit Vyas Congress had fielded its candidates for 24 constituencies in the state; however, this number has dropped to 23 after the nomination fiasco of Nilesh Kumbhani for the Surat Lok Sabha constituency. Notably, Congress is contesting the Lok Sabha elections in Gujarat under the I.N.D.I.A. coalition, under which the Aam Aadmi Party (AAP) has fielded two of its candidates, Chaitar Vasava and Umesh Makwana, from Bharuch and Bhavnagar seats, respectively. Also read: Nilesh Kumbhani under fire for Congress’ Surat Lok Sabha fiasco LS polls 2024: BJP, Congress, AAP candidates file nomination across Gujarat Cong declares all Lok Sabha candidates for Gujarat; Dhanani against Rupala",gandhinagar
12 lakh first-time voters to get inked in Guj on May 7,https://english.gujaratsamachar.com/news/gujarat/12-lakh-first-time-voters-to-get-inked-in-gujarat-on-may-7,2024-04-24,24,04,2024,"First time voters in Gujarat With the deadline for the withdrawal of nominations running out on Apr 23, Gujarat will see 266 candidates battle for 25 seats in the 2024 Lok Sabha election, the state’s chief electoral officer P Bharathi said today. There are also 24 candidates aspiring to 5 seats up for bye-election. With 12 lakh voters gearing up to exercise their franchise for the first time this year, Bharathi said the EC is permitting a print-out of the EPIC card as a valid document allowing one to vote. Meanwhile, 22,700 voters have signed up for the government’s ‘vote-from-home’ option, available to senior citizens ages 85+, and persons with disabilities. Bharathi was addressing the press as part of the Election Commission’s bid to raise voter awareness given the low turnout in the early phases of the election completed so far. Gujarat will go to the polls in Phase 3 on May 7. Gujarat has a total of 26 parliamentary seats to be filled, but BJP candidate Mukesh Dalal for Surat is running unopposed after all other contenders withdrew their candidacy. In all, there are 4,97,68,677 voters in Gujarat, with Gandhinagar accounting for the highest number of women voters, Bharati said, adding that Surat has the lowest number of women voters. Navsari has the highest numbers of men voters and Bharuch has the lowest number of men voters, and Dahod has the highest number of youth voters between the ages of 18 to 29 years, she also said. Block development offices have started to distribute voter information slips to every household, to further encourage voting, Bharathi further stated. To maintain fairness and transparency in the upcoming elections, the state’s chief electoral officer has initiated suo motu action in 19 instances. The Election Commission has also sought a report from the returning officer for Surat on the withdrawal of candidates. ‘Action against 42k bootleggers’ Shamsher Singh, the Additional Director-General in charge of law and order in the Gujarat police, was also present at the briefing. He said that, in the recent past, the cops have taken action against 42,000 bootleggers and arrested 30 smugglers. He added that 1,400 cases have been registered under the Gujarat Prevention of Anti-Social Activities (PASA) Act, with 97% bailable warrants being issued in this process. Gujarat police have tied up with neighbouring states and have seized ₹42 crore in cash and valuables at 133 checkposts along the state border ahead of the elections, Singh added. Also read: Age breakdown for Gujarat’s voters in Lok Sabha elections 2024 Lok Sabha elections 2024: Things you need to know as a first-time voter",gandhinagar
Age breakdown for Gujarat’s voters in Lok Sabha elections 2024,https://english.gujaratsamachar.com/news/gujarat/age-breakdown-for-gujarats-voters-in-lok-sabha-elections-2024,2024-04-24,24,04,2024,"Voters age in Gujarat As Gujarat prepares to vote for the third phase of the Lok Sabha elections on May 7, the age classifications in the state derive that there are over 9.99 lakh voters above the age of 80, with Vadodara having the highest number of elderly voters, 50,289. Gandhinagar is second on this list, followed by Amreli in third place. Seats in Gujarat with the highest number of elderly voters: Statewide, there are a total of 86.40 lakh voters above the age of 60. About first-time voters, Banaskantha tops the list at 68,735, followed by Patan and Dahod in second and third place, respectively. Ahmedabad West has the lowest number of first-time voters, with 27,218 of them exercising their franchise for the first time. Seats in Gujarat with highest number of first-time voters: Across the state, there are a total of 1.16 cr voters between the ages of 18 and 30. Comparatively, Surat has the fewest number of voters above 80, with 24,134. However, since a candidate has secured this seat unopposed, the voters will not be able to exercise their rights here. Also read: Ever-expanding Ahmedabad experiences ever-increasing number of voters in LS polls Lok Sabha elections 2024: Things you need to know as a first-time voter Lok Sabha polls 2024: Will 850 NRI voters visit Gujarat to vote?",gandhinagar
Central University of Gujarat students protest after student beaten up by locals,https://english.gujaratsamachar.com/news/gujarat/central-university-of-gujarat-students-protest-after-student-beaten-up-by-locals,2024-04-25,25,04,2024,"A Central University of Gujarat (CUG) student was allegedly beaten by a local family in a rented hostel following a clash. The university administration approached the police after students held a protest on the campus today demanding justice. Abhishek, a second year Chinese department student, was allegedly beaten by a local family residing in the same building of a hostel in Pethapur on the night of Apr 24. The hostel building is a temporary arrangement by CUG Apart from  hostel flats, other flats in the building are owned by families. A Phd scholar at CUG who did not wish to be named, told Gujarat Samachar Digital that the incident happened at 9.30 p.m. A family, living in B block came down and beat the student named Abhishek, he said. The family alleged misbehaviour and harassment by the students and threatened them. “After the incident on Wednesday night, university administrative officials reached the hostel around 11.30 pm.  Police was called and an application was given regarding the incident.” After the incident, students gathered on the campus today morning and protested outside the Vice Chancellor’s chamber, demanding action by the university officials. Dr H B Patel, Registrar of Central University of Gujarat told Gujarat Samachar Digital, “We came to know about the clash between students and local residents of a rented hostel yesterday night. We approached the police after a student was beaten and gave an application. The student has been given protection. The Pethapur police said that their PCR van reached the location on Wednesday night following the incident and today University officials gave a written complaint regarding the incident.",gandhinagar
"10 IPS, 2 SPS officers transferred in Guj ahead of LS polls",https://english.gujaratsamachar.com/news/gujarat/10-ips-2-sps-officers-reshuffled-in-gujarat-ahead-of-lok-sabha-polls,2024-04-25,25,04,2024,"IPS, SPS transfers in Gujarat Ahead of the forthcoming Lok Sabha elections in the state on May 7, Gujarat’s home department has notified the transfer of ten IPS and two SPS officers. The State home department has also notified the Election Commission of the same, in light of the polling dates. All the IPS officers transferred are of Gujarat cadre. IPS Officers transferred: - Gagandeep Gambhir, currently waiting for a posting has been appointed Inspector General of Police (Administration), Gandhinagar. - Raghavendra Vatsa, currently waiting for a posting, has been appointed Joint Commissioner of Police (Crime), Surat City - Sharad Singhal, waiting for a posting, has been appointed Joint Commissioner of Police (Crime), Ahmedabad City - Neeraj Kumar Badgujar, Addl CP (Crime), Ahmedabad City, is transferred and appointed Additional Commissioner of Police, Sector-1, Ahmedabad City - Chaitanya Ravindra Mandlik, currently waiting for a posting, has been appointed Superintendent of Police, CID (Crime), Gandhinagar - Manish Singh, currently waiting for a posting, has been appointed Superintendent of Police, MT, Gandhinagar - Usha B Rada, currently waiting for a posting, has been appointed Commandant, SRPF, Group-6, Mudeti, Sabarkantha - Ajit Rajian, DCP (Cyber Crime), Ahmedabad City, is transferred and appointed Deputy Commissioner of Police (Crime), Ahmedabad City - Dr Lavina Sinha, currently waiting for a posting, has been appointed Deputy Commissioner of Police (Cyber Crime), Ahmedabad City Himanshu Kumar Verma, SP, State Traffic Branch-1 Gandhinagar, is transferred and appointed Deputy Commissioner of Police, Zone-1, Ahmedabad City",gandhinagar
Cyber tech helps Gandhinagar police recover 230 mobile phones in 1 month,https://english.gujaratsamachar.com/news/gujarat/cyber-tech-helps-gandhinagar-police-recover-230-mobile-phones-in-1-month,2024-04-25,25,04,2024,"In a strategic effort to combat crime using cyber technology, Gandhinagar police have recovered 230 stolen mobile phones in one month through the Central Equipment Identity Register (CEIR), District police superintendent Vasamsetty Ravi Teja told the press on Apr 25. He explained that specially trained teams from the Gandhinagar district police recovered the devices based on complaints of mobile theft registered in Gandhinagar district and city. The teams travelled to various locations in Gujarat, as well as from Maharashtra, Uttar Pradesh, Rajasthan and Madhya Pradesh for this recovery process. “We have sent the recovered phones, cumulatively worth about ₹30 lakh, to local police stations, from where they will be returned to their owners,” a senior official of the Gandhinagar local crime branch said. The cases are still under investigation since, in most cases, the devices recovered from innocent people who bought them second-hand are not involved in the thefts. A joint initiative between the police and the Department of Telecom, CEIR allows users and the police to input a stolen or lost phone’s IMEI number and request that it be blocked to prevent the device from being used for illegal activities. When you block a smartphone on CEIR's website, it will be blocked on the central database and cannot be used and an alternate number has been given for the phone. Given its nationwide presence, CEIR can track if and when any unauthorised person attempts to activate the blocked phone anywhere in the country. If such an attempt is detected, the phone will send a SMS to a given alternate number, allowing the phone to be traced and recovered by the police,” the crime branch official added. In order to request that a stolen/lost phone be blocked, users need to upload a digital copy of the complaint filed with the local police, as well as the number of the SIM card, the phone’s IMEI number and a copy of the mobile purchase invoice.",gandhinagar
"BJP, Congress, and Kshatriya community in showdown at Gujarat’s Surendranagar",https://english.gujaratsamachar.com/news/gujarat/bjp-congress-and-kshatriya-community-in-showdown-at-gujarats-surendranagar,2024-04-25,25,04,2024,"Surendranagar Lok Sabha In the forthcoming Lok Sabha elections, the BJP (Bharatiya Janata Party) and the Congress are expected to be in a face-off. The BJP has nominated Chandu Shihora, a community leader. Shihora, a civil engineer and former president of the Morbi district panchayat and ex-vice president of the Morbi district BJP, hails from Halvad taluka of Morbi. He is a prominent figure within the Chuvaliya Koli community, known for his involvement in community-oriented events like mass weddings and student felicitation functions. This nomination marks a shift as the party has chosen not to field the current Lok Sabha MP, Dr Mahendra Munjapara, who also belongs to the same community. Congress’ bid for Morbi Lok Sabha seat On the opposition front, the Congress has positioned Rutvik Makwana, a current member of the legislative assembly from Chotila constituency, to strengthen its campaign. Makwana, also from the Koli caste, has been a vocal critic of the BJP, evidenced by his arrest in March 2021 during a tractor rally against prime minister Narendra Modi. His political activism includes his role as the chief organiser of the ‘Gujarat Pradesh Seva Dal’, appointed by Rahul Gandhi in 2018. Kshatriya unrest in Surendranagar Amidst this political contest, a strong campaign titled ‘Kshatriya Asmita Dharmarath’ was launched on Apr 23. This three-day campaign to mobilise against the BJP traversed over 30 villages in Surendranagar district. Spearheaded by community leaders and supported by a newly formed committee of young Kshatriyas, this initiative aims to influence booth-level voting patterns across the district. The rising activism within the Kshatriya community against the BJP has heightened tensions and stakes in the region, setting the stage for a fiercely contested election. Dynamics of Surendranagar Surendranagar is a significant economic hub in Gujarat, with thriving chemical, textile, cotton, and plastic industries. This city holds considerable political importance due to the influence of the Koli community. Historically, Somabhai Patel has been a prominent figure, winning elections from both the Congress and BJP parties. The Surendranagar Lok Sabha constituency encompasses several assembly seats: Viramgam, Limbdi, Dhrangadhra, Dhandhuka, Wadhwan, Dhasa, and Chotila, with the Dhasa seat being reserved for the SC category. The first parliamentary election in this region was held in 1962 and was won by a Congress candidate. The constituency has seen various political shifts, including victories by the Swatantra Party. Soma Patel won the seat in 1989 as a BJP candidate, defeating the Congress candidate, and repeated his success in 1991. However, in 1996, he lost to Sanat Mehta of the Congress. After a hiatus during the 1998 and 1999 elections, he returned to contest in 2004 on a BJP ticket. In recent elections, Mahendra Munjapara from the BJP won in 2019 with a significant margin, while in 2014, Devji Bhai of the BJP secured the seat with 56% of the votes, with Soma Patel from the Congress trailing with 34.5%. (Source: IANS) - Edited for style Also read: BJP prepares to retain Gujarat’s Mehsana as Congress plays on caste factor It’s political experience versus young blood in battle for Kutch LS constituency",gandhinagar
"Bhayani deemed offender, Kirit Patel given clean chit by electoral officials",https://english.gujaratsamachar.com/news/gujarat/bhupat-bhayani-deemed-offender-kirit-patel-given-clean-chit-by-electoral-officials,2024-04-25,25,04,2024,"Bhupat Bhayani, Kirit Patel Amidst the heavy sloganeering and statements exchanged among parties, former Visavadar MLA for AAP (Aam Aadmi Party) and current BJP leader, Bhupat Bhayani, has landed in trouble over a controversial speech made on Apr 22 against Congress leader Rahul Gandhi. Meanwhile, Junagadh BJP chief Kirit Patel has been given a clean chit over his statements on royal families as well as disabled people. The Election Commission’s enforcement officer in Visavadar submitted a report on Apr 24 to the assistant returning officer (ARO) regarding the speeches. These statements were passed by Bhayani during the inauguration of the BJP’s office in Visavadar. Both of these statements, by Bhayani and Patel, were scrutinised for violations of the moral code of conduct. Sources close to the developments suggested that Bhayani’s statement on Gandhi, deemed personal, was flagged as a violation of the code of conduct. However, as the district BJP chief’s comments were not personal, the MCC standards remained intact, over which a report was submitted to the nodal officer. Meanwhile, the complainant in this row, an electoral candidate himself, Alpesh Trambadia, has appealed to the district election officer (DEO), demanding action against this violation. Also read: Another BJP leader Kirit Patel lands on backlash radar of Kshatriyas in Gujarat State chief electoral officer warns parties regarding controversial statements",gandhinagar
