Title,Article Link,Date,Day,Month,Year,Article,Location
Guj govt in damage-control mode amid Kshatriya campaign against Rupala,https://english.gujaratsamachar.com/news/gujarat/gujarat-govt-in-damage-control-mode-amid-kshatriya-campaign-against-parshottam-rupala,2024-04-22,22,04,2024,"Parshottam Rupala The Gujarat government is making concerted efforts to address the grievances of the Kshatriya community to mitigate rising tensions amid protests against the candidature of Parshottam Rupala from the Rajkot Lok Sabha seat. This initiative was highlighted in a pivotal meeting held at a private hotel in Rajkot, chaired by minister of state for home affairs, Harsh Sanghvi, shared the party sources. The meeting saw the participation of prominent Kshatriya leaders from the BJP, including influential figures from Rajkot and Jamnagar such as Jayrajsinh Jadeja, Kesridevsinh Zala, Narendrasinh Jadeja, Virendrasinh Zala, and Narendrasinh Zala of Morbi, alongside Rajbha from Gondal. Discussions focussed on the community’s unrest following remarks against the Maharajas by union minister, Parshottam Rupala, which sparked widespread dissatisfaction among the Kshatriyas. On Apr 20, the Kshatriya Rajput community’s coordination committee outlined a campaign strategy against BJP leader Rupala and the party at large. This includes organising booth-level campaigns across every village and city to ensure a substantial turnout of votes against the BJP by May 7, the polling day in Gujarat. In a shift from conventional protest tactics, the community announced plans to hold public demonstrations across 26 Lok Sabha seats in Gujarat, prominently featuring saffron flags. Additionally, the community intends to support competent candidates from other parties, operating under the maxim, “The enemy’s enemy is our friend.” The committee is also planning village-to-village meetings to amplify their message to rally further support. In a symbolic gesture, community women will conduct a one-day fast in each district, marking their protest against Rupala’s candidature. Various social organisations within each district are promoting a disciplined and coordinated approach to voting against the BJP. Furthermore, starting from Apr 22, Dharmaraths or chariots bearing religious insignia will traverse five zones of Gujarat, originating from religious sites to educate villagers on the importance of voting against the BJP. The movement gained momentum on Apr 14 when over 1.5 lakh community members from Gujarat and neighbouring states convened in Rajkot, demanding the withdrawal of Rupala’s nomination for the Rajkot Lok Sabha seat. (Source: IANS) - Edited for style Also read: Kshatriya Rath Yatra, symbolic fasting, and more to oppose Rupala in Gujarat Kshatriya community clashes with BJP leaders, MLA Ramanlal Vora in Sabarkantha Anti-Rupala stir by Kshatriyas turns anti-BJP across Gujarat",rajkot
Four heart-related deaths reported in Rajkot in 48 hours,https://english.gujaratsamachar.com/news/gujarat/four-heart-related-deaths-reported-in-rajkot-in-48-hours,2024-04-24,24,04,2024,"As Gujarat has been witnessing a surge in heart-related cases, four people in Rajkot have succumbed to sudden deaths in the last 48 hours. These cases have been recorded by the police, but the actual number may rise. On the morning of Apr 23, 30-year-old Sanjay Parmar, a resident of Bhavani Nagar near Ramnath Para Chowk, did not wake up and was rushed to Rajkot Civil Hospital, where he was declared dead. The deceased was the elder of two brothers and a sister, who was the breadwinner in the family. He used to do labour work in Danapith Chowk. The reason behind his sudden death has been reported to be a heart attack, according to the investigation by the division police. Another heart attack case was reported from the city's Jivraj Park area, where Kiran Raja, a 46-year-old woman, fell unconscious at her home and died while being shifted to the hospital. A preliminary investigation by taluka police revealed the cause of death to be a heart attack. The deceased woman has a son and a daughter. On the night of Apr 22, Ratna Kalotara, a resident of Sitaram Society near Bhavnagar Road, was declared dead after he complained of chest pain. A police investigation revealed the suspicion of a heart attack as the cause of death. Kalotara, 49, was a BJP leader and the father of three daughters and a son. Ajay Goswami, a vegetable vendor in the Gandhigram area of Rajkot, fell unconscious at his residence. He was rushed to the hospital, where he was declared dead. Gandhigram police have revealed a heart attack as his cause of death. The deceased was the younger of two brothers. Also read: Gujarat sees a surge in heart attack emergencies in 2023, says report Stagnant rise in heart issues continued in 2023, highest in Ahmedabad",rajkot
"Rupala controversy: Kshatriyas flag off Dharma Rath Yatra, Mahasammelan across Guj",https://english.gujaratsamachar.com/news/gujarat/rupala-controversy-kshatriyas-flag-off-dharma-rath-yatra-mahasammelan-across-guj,2024-04-25,25,04,2024,"Kshatriya Dharma Rath Yatra As the second phase of 'Kshatriya Asmita Andolan' has begun in Rajkot, the people of the community, in large numbers, are set to visit five Lok Sabha constituencies in Gujarat to appeal to people to vote against the BJP. Dharma Rath Yatra Asmita Rath The Kshatriya Dharma Rath Yatra flagged off on Apr 24 amid cries of ‘Jai Bhavani’ and a luxury car, which has turned into ‘Asmita Rath’ adorned with a flag, tilak, and garland—on the premises of Ashapura temple on Palace Road in Rajkot. The Dharma Rath is set to pass through religious places in Dwarka-Jamnagar, Rajkot, Kutch, Bhavnagar, and Surendranagar. In the core committee meeting of Kshatriya on Apr 24, four public meetings named ‘Mahasammelan’ across various districts have been scheduled between Apr 27 and May 2. The Mahasammelan will commence in Mehsana’s Visnagar on Apr 27, followed by Bardoli on Apr 28. The other two public meetings are about to set off in Anand on Gujarat’s foundation day (May 1), while the last Mahasammelan will be held in Jamnagar on May 2. The Kshatriya leaders refused the speculations of Kshatriyas involved in any settlement with the BJP, calling it ‘false’ and an ‘effort to divide Kshatriyas’. BJP’s defeat in over 10 Lok Sabha seats The Kshatriya protest aims at the BJP’s defeat in the epicentre of the controversy—Rajkot and other Lok Sabha seats including Banaskantha, Patan, Mehsana, Sabarkantha, Bharuch, Surendranagar, Bhavnagar, Jamnagar, and Kutch. It all began with a derogatory remark that Parshottam Rupala made about erstwhile kings, which flared the agitation from the Kshatriya community, prompting a state-wide protest against defeating not only Rupala but also the BJP. Meanwhile, Junagadh BJP president Kirit Patel, another Patidar leader, commented on erstwhile kings and their queens, adding fuel to the flame of Kshatriya agitation. Also read: BJP battles Kshatriya community’s angst across Gujarat amid Rupala row Rajputs convene in Rajkot, draws crowd of over 1 lakh",rajkot
400 end up in hospital over food poisoning from prasad in Rajkot,https://english.gujaratsamachar.com/news/gujarat/400-end-up-in-hospital-over-food-poisoning-from-prasad-in-rajkot,2024-04-30,30,04,2024,"More than 400 people, including children, were shifted to hospital in Rajkot after complaining of food poisoning on Apr 29. The authorities swung into action as soon as the news broke out. The incident took place at the Gokhlana village of Jasdan taluka in Rajkot, where devotees gathered for a religious event. After consuming the prasad (offering), 400 complained of food poisoning and had to be rushed to a private hospital in Jasdan. Fortunately, they have been reported to be completely out of danger. The patients also included children aged 5 to 12. Samples of the food were taken for further probe by the authorities. The religious event, ‘M ata ata ji no Mandwo’ , is organized every year in the Gokhlana village. The event attracts devotees not only from Gokhlana but surrounding villages, too. Also read: Over 250 hospitalized due to food poisoning at wedding in Gir Somnath",rajkot
Former Congress MLA Indranil Rajguru compares Rahul Gandhi with Mahatma Gandhi,https://english.gujaratsamachar.com/news/gujarat/former-congress-mla-indranil-rajguru-compares-rahul-gandhi-with-mahatma-gandhi,2024-05-03,3,05,2024,"As Lok Sabha elections are just four days away in Gujarat, yet another politician embroiled himself in a controversy, as a former Rajkot MLA compared Congress leader Rahul Gandhi to Mahatma Gandhi. While campaigning for Rajkot Congress LS candidate Paresh Dhanani at a public event in Rajkot, Indranil Rajguru reportedly said, “Mark my words, if there will be another Mahatma Gandhi in this country, it will be Rahul Gandhi.” “Rahul Gandhi is a completely honest and genuine man, but he was labelled as pappu,” he added, comparing him to the Mahatma. After his statement, he clarified standing firm by saying, “What I said is written in history that Gandhiji contributed his skills to this nation, and now Rahul Gandhi is doing the same.” Responding to the backlash, he said that those who used to defame Mahatma Gandhi were worried about derogatory remarks about Gandhiji. Who is Indranil Rajguru? Indranil Rajguru is a former Congress MLA from Rajkot east constituency who was elected in 2012. In 2022, he joined the Aam Aadmi Party (AAP) for a few months and returned to Congress ahead of the 2022 Assembly elections. During the Lok Sabha elections in 2017, he was defeated by the BJP's Vijay Rupani in the Rajkot west constituency. Also read: Rahul Gandhi’s remarks on royals draws flak from Gujarat’s Kshatriya leaders BJP accuses Rahul Gandhi of insulting Rajput community, demands apology",rajkot
Four arrested for allegedly inciting enmity between Leuva and Kadva Patidar,https://english.gujaratsamachar.com/news/gujarat/four-arrested-for-allegedly-inciting-enmity-between-leuva-and-kadva-patidar,2024-05-04,4,05,2024,"As caste politics are rife in Gujarat, an attempt to create tensions between Leuva and Kadva Patel among Patidars was foiled in Rajkot. Four men were arrested in Rajkot for inciting enmity between two sub-caste communities and allegedly distributing pamphlets. As per the complaint lodged by Mahesh Pipariya, four accused, including Ketan Tala, Prakash Vejapara, Vipul Tarapara, and Deep Bhanderi, were arrested by Rajkot police at 11.50 p.m. on May 3. All the accused have been booked under Indian Penal Code (IPC) Sections 153 (provocation that can lead to rioting), 188 (public safety at stake), 114 (abettor present at the time of offence), and Sections 125 (promoting enmity in connection with election) and 127A(4) (publishing pamphlets without mentioning its origin) of the Representation of the People Act, 1950. Congress candidate Paresh Dhanani alleged at a press conference, “Some BJP MPs were dreaming of becoming MPs but were not given a chance from above. As a result, it seems that this pamphlet is the result of internal discord, and we demand a neutral investigation into it.” District BJP chief Pramukh Doshi said, “We immediately informed the police when we got to know about the pamphlet distribution. We are not saying that Congress is behind this, but the police should investigate this matter closely.” Caste politics? A notable caste politics has been brewing in Rajkot LS seat as two contenders of major rival parties belong to the same community, but with a twist- different sub-caste. The Rajkot LS seat BJP candidate Parshottam Rupala is from Kadva Patel sub-caste of Patidar community. He has been embroiled in a controversy due to his comments on the Kshatriya community. On the other hand,  Congress fielded Paresh Dhanani belonging to the Leuva Patel subcaste to contest against Rupala in Rajkot. Also read: “Congress in Rajkot would have met same fate as Surat if...” says Cong leader Parshottam Rupala-Paresh Dhanani assets disclosed ahead of LS polls",rajkot
Leuva and Kadva Patel pamphlet controversy: Probe into role of Dhanani’s brother,https://english.gujaratsamachar.com/news/gujarat/leuva-and-kadva-patel-pamphlet-controversy-probe-into-role-of-dhananis-brother,2024-05-05,5,05,2024,"The Rajkot Lok Sabha seat is yet again embroiled in controversy after an attempt to create tensions between Leuva and Kadva Patels was made through distribution of provocative pamphlets. Shockingly, the name of Congress candidate Paresh Dhanani’s brother, Sharad Dhanani, is doing the rounds in the pamphlet case, as per reports. Caste politics is at the forefront in Rajkot as two contenders from different subcastes of the Patidar community, Leuva and Kadva Patel, are set to contest on May 7. Mukesh Patel, Rajkot district BJP president, informed Rajkot police about the provocative pamphlets doing the rounds on social media to incite tensions between Leuva and Kadva Patels. The pamphlets circulating on social media reportedly had slogans of ‘Jago Leuva Patel Jago’. Based on the complaint, the Rajkot police commissioner has initiated an investigation. Regarding the controversy, Rajkot A Division Police Inspector D M Haripara said, “Four youths from the Patidar community have been detained. CCTV footage of the area where the pamphlets were distributed has been obtained. Investigation is under way to find the person behind the printing of the pamphlets.” After a complaint lodged by Mahesh Pipariya, four accused, namely Ketan Tala, Prakash Vejapara, Vipul Tarapara, and Deep Bhanderi were arrested by Rajkot police at 11.50 pm on May 3. All the accused have been booked under Indian Penal Code (IPC) Sections 153 (provocation that can lead to rioting), 188 (public safety at stake), 114 (abettor present at the time of offence), and Sections 125 (promoting enmity in connection with an election) and 127A(4) (publishing pamphlets without mentioning their origin) of the Representation of the People Act, 1950. Also read: Four arrested for allegedly inciting enmity between Leuva and Kadva Patidar “Congress in Rajkot would have met same fate as Surat if...” says Cong leader",rajkot
Kshatriya community’s influence reshaping Gujarat’s Lok Sabha elections,https://english.gujaratsamachar.com/news/gujarat/kshatriya-communitys-influence-reshaping-gujarats-lok-sabha-elections,2024-05-06,6,05,2024,"Parshottam Rupala The Lok Sabha elections in Gujarat have been marked by the Kshatriya community’s tumultuous display of power and determination. The protests against alleged derogatory remarks by union minister Parshottam Rupala, who is the BJP’s Rajkot candidate, have evolved into a formidable force shaping Gujarat’s political landscape. During a Dalit community function in Rajkot on Mar 2, BJP leader Rupala stated that while Dalits had shown unwavering dedication, Rajputs/Kshatriyas shared meals and married their daughters to heretics. Rupala is a Patel, and his remarks on the Kshatriya community added fuel to the fire. Kshatriyas and Patels are two important communities that influence Gujarat’s politics. Given the “roti-beti vyavhar” comment by Rupala, the Kshatriya community organised itself, forming a coordination committee comprising 92 organisations across Gujarat. Their demand for the withdrawal of minister Rupala’s candidature went unheeded by the BJP, leading to escalated protests and disruptions in the BJP candidates’ campaigns in Kshatriya-dominated areas. The Kshatriya community constitutes approximately 70 lakh or 10% of Gujarat’s total population. This demographic strength has considerable influence over electoral outcomes, particularly in key constituencies like Jamnagar, Rajkot, Surendranagar, Bhavnagar, Kutch, Banaskantha, Sabarkantha, Anand, and Bharuch. Despite apologies from Rupala and other party leaders, the BJP stood firm, prompting a shift in the Kshatriya community’s stance. Kshatriya agitation’s implications on Gujarat’s Lok Sabha dynamics Initially targeting Rupala, they now pledge to vote against the BJP on all 25 Lok Sabha and five assembly seats in Gujarat, signalling a significant challenge for the ruling party. In response to a senior Kshatriya leader’s appeal for forgiving the BJP, the community’s coordination committee reinforced its resolve on May 5, urging Rajputs to uphold their commitment to voting against the BJP over the Rupala controversy. Karansinh Chavda of the Kshatriya coordination committee emphasised, “This is a battle of ego versus pride. We aim to achieve 100% anti-BJP voting across all 25 Lok Sabha and five assembly seats. Our non-violent protests were ignored. The BJP’s leaders continue to make divisive remarks without apology. This lack of accountability is unacceptable. Our protests will extend beyond this issue. We will demonstrate our influence in future district and panchayat elections, impacting 10-12 seats and significantly influencing local bodies.” Congress places its bet on Paresh Dhanani Gujarat Congress leader Paresh Dhanani is the candidate for the Rajkot seat against senior BJP leader Rupala. This decision of the Kshatriyas has elevated the importance of the Rajkot constituency in Gujarat’s political landscape. Their move is noteworthy as Dhanani has a history of defeating Rupala, having triumphed over him in the 2002 assembly elections for the Amreli constituency. Drawing a parallel to the disrobing of Draupadi in the Mahabharata, Dhanani emphasised the perceived insult felt by the Kshatriya community due to Rupala’s comments. (Source: IANS) - Edited for style",rajkot
"More than 400 fall victim to food poisoning in Surendranagar, Rajkot",https://english.gujaratsamachar.com/news/gujarat/more-than-400-fall-victim-to-food-poisoning-in-surendranagar-rajkot,2024-05-12,12,05,2024,"Food poisoning Food poisoning incidents were reported in Gujarat’s Surendranagar and Jasdan. More than 30 people were affected in Surendranagar, including children, and 400 people in Rajkot fell ill. A large number of people attended a wedding ceremony in Rojasar village in Surendranagar’s Limbdi taluka on May 11. After feasting at the reception, about 30 people, including children, needed medical attention. As a result, the children were rushed to the Ranagadh primary health centre in Limbdi for immediate treatment. According to preliminary information, currently, all the children are reported to be in good health. It is believed that food poisoning occurred due to the consumption of some food items at the wedding ceremony. The health department team was also informed about the matter, and further investigation was taken up. A team of doctors and nursing staff was also kept on standby after the incident. Jasdan food poisoning incident A religious ceremony was organised in Gokhlaana village in Rajkot’s Jasdan taluka, which was attended by more than 1,000 people. Here, more than 400 people were simultaneously affected by food poisoning after consuming prasad (a religious offering), causing panic among the attendees. Among the patients were children aged  five to ten. Following the incident, the concerned department took samples of the prasad offerings and initiated further action. Also read: 400 end up in hospital over food poisoning from prasad in Rajkot Over 250 hospitalized due to food poisoning at wedding in Gir Somnath One child dead, six in hospital over food poisoning in Ahmedabad’s Bavla",rajkot
Rajkot board topper passes away four days after results,https://english.gujaratsamachar.com/news/gujarat/rajkot-board-topper-passes-way-four-days-after-results,2024-05-17,17,05,2024,"In an unfortunate incident, the Gujarat Board’s recent Class 10 topper from Rajkot, Heer Ghetiya, who achieved a remarkable 99.70%, tragically passed away merely four days after the results were announced on May 11. The 16-year-old from Morbi, Rajkot was declared brain dead on May 15 after which her family decided to donate her organs. Yadav suffered a haemorrhage in April, leading to an urgent surgery at a private hospital in Rajkot. She was then treated and recovered. Before her family could rejoice her exceptional academic performance that involved a full score in Mathematics, her condition deteriorated suddenly. She was admitted to BT Savani Kidney Hospital in Rajkot where initially 80-90%  of her brain was declared to be dead. Despite efforts of medical staff for 8-10 days, Ghetiya’s condition did not improve and on May 15, she was declared dead. Her family then decided to donate her body and organs. Despite being unable to fulfil her dream of becoming a doctor, Heer’s family believes that this act will contribute to the education and training of future medical professionals. Also read: Physiotherapist dies in hit and run case, family donate organs",rajkot
