Title,Article Link,Date,Day,Month,Year,Article,Location
Nilesh Kumbhani faces nomination cancellation in Surat Lok Sabha seat,https://english.gujaratsamachar.com/news/gujarat/nilesh-kumbhani-faces-nomination-cancellation-in-surat-lok-sabha-seat,2024-04-21,21,04,2024,"Ahead of Lok Sabha and bye polls in Gujarat, Congress faces a big blow as Surat candidate Nilesh Kumbhani’s nomination has been cancelled. After a brief stir regarding the disqualification of Kumbhani on Apr 19, the hearing in the case of Kumbhani concluded today at Surat collector Sourabh Pardhi’s office, and the nomination was cancelled. Earlier, the vice president of the Gujarat Congress and lawyer, Babu Mangukiya, appearing in defence of Kumbhani, said that all four of our supporters of Kumbhani have been abducted. On the other hand, Surat Congress leader Aslam Cyclewala alleged that Kumbhani had made a ticket deal under the table. The nomination has been invalidated by the election officer, as Ramesh Palara, Jagdish Savaliya, and Dhruvin Dhameliya, three of his proposers, claimed they had not signed the form of Kumbhani. According to reports, the Congress will now contest 23 Lok Sabha seats in Gujarat. Congress is likely to move to the Gujarat High Court regarding the cancellation of nominations. Also read: Nilesh Kumbhani likely to face nomination cancellation in Surat Lok Sabha seat",surat
BJP opens account as Surat Lok Sabha seat declared uncontested,https://english.gujaratsamachar.com/news/gujarat/bjp-wins-surat-seat-uncontested-mukesh-dalal-declared-winner,2024-04-22,22,04,2024,"Mukesh Dalal The Bharatiya Janata Party (BJP) has sealed its first victory for the Lok Sabha elections 2024 from Surat constituency, as the seat was declared unopposed today. The Congress party faced a major setback in the general elections in Gujarat as the Returning Officer rejecting its candidates' nomination forms on Apr 21. Moreover, the Bahujan Samaj Party (BSP) candidate, Pyarelal Bharti, also revoked his candidature from the seat. While in most constituencies of Gujarat the fight is mainly between two parties, the Congress and the BJP, in Surat the BJP now has a clear path. Surat drama for Congress’ Nilesh Kumbhani The Congress’ Nilesh Kumbhani, who was initially nominated for the Surat Lok Sabha constituency, found his candidacy invalidated after alleged discrepancies were discovered in the proposers' signatures. The Congress’ backup candidate Suresh Padsala also met the same fate, effectively removing the grand old party from the electoral contest in this key city. The decision was announced by the district Returning Officer, Sourabh Pardhi, who noted that the signatures on the nomination forms needed to be more genuine. The proposers denied having signed the forms themselves. The controversy arose just after Dinesh Jodhani, the election agent for the BJP candidate Mukesh Dalal, raised objections. In response, Kumbhani defended the authenticity of the signatures, suggesting that a handwriting expert and the signatories verify them. Despite these efforts, the Returning Officer confirmed the rejections based on the affidavits and additional evidence presented during the scrutiny. The Congress party, represented by its lawyer Babu Mangukiya, plans to challenge the decision in the higher courts. Mukesh Dalal, the BJP candidate, remains a contender in Surat. A veteran in local politics, Dalal has held significant positions, including Chairman of the Surat Municipal Corporation's Standing Committee and current General Secretary of the BJP's city unit. His extensive experience and deep roots in the community make him a strong candidate for the seat. Surat is responsible for three-quarters of the world's diamond cutting and polishing trade. The Congress party, led by late Prime Minister Indira Gandhi, reclaimed the Surat seat in 1980 and maintained its hold in the 1984 elections. However, the tide turned in 1989 when the BJP made its mark with Kashiram Rana securing the seat, initiating a series of victories in 1991, 1996, 1998, 1999, and 2004. In a notable 2009 election, BJP's Darshana Jardosh became the first female MP from Surat. This constituency, which comprises Assembly seats in Olpad, Varachha Road, Surat West, Surat East, Karanj, Surat North, and Katargam, continued to favour the BJP. In 2019, Darshana Vikram Jardosh secured a decisive win with 795,651 votes, significantly ahead of the Congress' Ashok Patel, who garnered 247,421 votes. Similarly, in the 2014 elections, Jardosh won with 718,412 votes, while the Congress' Bhupat Bhai Desai trailed with 185,222 votes. Surat Lok Sabha constituency has a notable political heritage, having been represented by some prominent figures. Veteran BJP leader Kashiram Rana notably served as the MP from Surat for six terms, demonstrating the party's strong influence in the region. Additionally, the constituency boasts a distinguished history with Morarji Desai, the 7th Prime Minister of India, who served as its MP for five terms. Since 1989, the constituency has consistently elected BJP leaders with substantial margins. (Source: IANS) -Edited for style Also read: Nomination verification: Congress faces setback in Surat, others approved",surat
Surat Congress leader Nilesh Kumbhani ‘vanishes’ amid election controversy,https://english.gujaratsamachar.com/news/gujarat/surat-congress-leader-nilesh-kumbhani-vanishes-amid-election-controversy,2024-04-23,23,04,2024,"Nilesh Kumbhani Congress leader Nilesh Kumbhani from Surat, whose Lok Sabha candidacy was recently cancelled due to inconsistencies in his nomination form, seems to have ‘vanished’ into thin air. Kumbhani is not reachable on phone, raising alarms within his party and among his followers. The development follows the Election Commission declaring BJP’s Mukesh Dalal as the unopposed winner from the Surat Lok Sabha seat after all the other candidates withdrew their nominations. “Kumbhani is neither at his home, nor is he taking calls. He also didn’t contact any party workers since the election of Mukesh Dalal,” a Congress worker said. After rumours that Kumbhani may switch allegiance to the BJP, several Congress supporters staged a demonstration outside his residence with posters labelling him a “betrayer of the people”. Recently, the returning officer (RO), Surat collector Sourabh Pardhi, rejected the nomination of Kumbhani and his substitute candidate due to alleged discrepancies in the signatures of their proposers. The candidatures were dismissed under Section 36(2) of the Representation of the People Act, 1951, which permits the RO to examine and reject nominations based on valid objections. The situation escalated after eight other candidates, including Pyarelal Bharati of the Bahujan Samaj Party (BSP), withdrew their nominations under unclear circumstances, leaving Dalal as the lone contender. The series of withdrawals prompted allegations of foul play, with Gujarat Congress chief Shaktisinh Gohil claiming that Kumbhani’s nomination was sabotaged by the BJP as he described the incident as a “murder of democracy”. (Source: IANS) - Edited for style Also read: Nilesh Kumbhani under fire for Congress’ Surat Lok Sabha fiasco BJP opens account as Surat Lok Sabha seat declared uncontested",surat
Nilesh Kumbhani under fire for Congress’ Surat Lok Sabha fiasco,https://english.gujaratsamachar.com/news/gujarat/congress-nilesh-kumbhani-faces-flak-party-reaches-election-commission-over-surat-row,2024-04-23,23,04,2024,"Nilesh Kumbhani Among the deafening victory chants of the Bharatiya Janata Party (BJP) from Surat, a strong outrage has been launched by the opposition over the incidents leading to the unopposed contest. The party has now reached out to the election commission and even protested against Kumbhani. The BJP filed a counter-application against Congress candidate Nilesh Kumbhani, which resulted in the cancellation of his nomination form on Apr 21. After his rejection, eight other candidates withdrew their nominations, leaving Dalal as the sole remaining candidate for the seat and its imminent winner. Over this row, the Congress has now reached out to the Election Commission, alleging that Dalal was declared the winner over undue influence. Congress demands fresh elections be held in this constituency. A delegation of Congress leaders met with the Chief Election Commissioner (CEC) and other election officials, urging the electoral process in Surat to be re-conducted. A Congress spokesperson mentioned that four supporters nominated Kumbhani. However, without any prior intimation, all four of them filed affidavits stating false signatures. This could not be a coincidence, said the spokesperson. They added that Kumbhani was missing for a few hours, and before they could locate him, all the other candidates withdrew their nominations, while Kumbhani’s form was rejected. Outrage against Nilesh Kumbhani Alongside the electoral setback, Nilesh Kumbhani has been facing strong opposition from his supporters as well. It is noteworthy that Kumbhani’s supporters in the nomination process were his nephew and partner. Some factions in the Congress party express suspicion over Kumbhani’s involvement in this fiasco. Congress party workers were seen flocking to Kumbhani’s residence in Surat this morning, carrying placards and banners reading ‘Traitor of the People, Murderer of Democracy’. The police have detained the protestors. Is Nilesh Kumbhani joining BJP? Amid all this, speculations have also been reportedly raised about Kumbhani switching to the BJP as early as the end of this week. Also read: BJP opens account as Surat Lok Sabha seat declared uncontested Nomination verification: Congress faces setback in Surat, others approved",surat
Wanted posters for Nilesh Kumbhani surface in Surat,https://english.gujaratsamachar.com/news/gujarat/wanted-posters-for-nilesh-kumbhani-surface-in-surat,2024-04-25,25,04,2024,"Wanted posters for Congress leader Nilesh Kumbhani have been put up across Surat, labeling him a ""murderer of democracy"" and a ""traitor."" Amid rumours of Kumbhani's potential defection to the BJP, Congress supporters have staged protests outside his now-vacant residence, denouncing him as a ""betrayer of the people."" The posters, prominently displayed on the Hirabaug Bridge, were installed by former Corporator Dinesh Kachadiya. They urge the public to confront Kumbhani over his actions. This public display of dissent follows the controversial disqualification of Kumbhani's Lok Sabha candidacy by Surat Collector and Returning Officer, Sourabh Pardhi, amid claims of inconsistencies in his nomination documents. Kumbhani has since become unreachable, sparking concern among his party colleagues and supporters. ""He is neither at his home nor available on calls. He hasn’t contacted party members since the election of Mukesh Dalal,"" reported a Congress party worker. The situation escalated after Mukesh Dalal from the BJP was declared the winner unopposed in Surat, a result that came into place after all rival candidates, including those from major parties like the BSP, mysteriously withdrew their nominations. Returning Officer Sourabh Pardhi had rejected Kumbhani's nomination papers and that of his substitute, citing discrepancies in the signatures of their proposers. The controversy has fueled allegations of electoral manipulation by the BJP, with Gujarat Congress chief Shaktisinh Gohil condemning the episode as a ""murder of democracy"" and suggesting that the nomination process was sabotaged. (Source: IANS) -Edited for style Also read: Kumbhani not first, Congress’ Surat headache goes way back Surat Congress leader Nilesh Kumbhani ‘vanishes’ amid election controversy",surat
"Kumbhani not first, Congress’ Surat headache goes way back",https://english.gujaratsamachar.com/news/gujarat/nilesh-kumbhani-not-first-congress-surat-headache-goes-way-back,2024-04-25,25,04,2024,"Congress in Surat The invalidation of Congress’ Surat Lok Sabha candidate, Nilesh Kumbhani, led to eight more Surat candidates pulling out and BJP opening their account without breaking a sweat. This, however, is not the first blunder for Congress on the Surat seat, as the GOP has made such a mistake twice in the Surat Municipal Corporation (SMC) elections in 2000 and 2015. In the year 2000, forms for 23 Congress candidates were rejected altogether before the SMC elections. Patidar agitation failure Another such blunder was committed in 2015, during the peak of the Patidar reservation agitation in the state. During the days when the Patidar Anamat Andolan Samiti (PAS) openly opposed the BJP and supported the Congress, it became extremely difficult for the saffron party to run campaigns in Surat wards. This resulted in the BJP being wiped out of the Patidar-dominated areas and the Congress winning a staggering 37 seats. With this impact solidifying Congress’ hold, the GOP was also certain to win the Patidar-dominated wards: Ward-2, Amroli, and Kosad. Karuna Bharat Rathod was the Congress’ candidate for this seat, reserved for the OBC (other backward classes), while the BJP fielded Urvashi Rami Mali for the SMC elections. In an embarrassing turn of events, Congress failed to submit an OBC certificate for their candidate along with the nomination form. The BJP took a stern objection over this, and Rathod’s form was rejected. The BJP candidate was similarly declared the unopposed winner even before the polling took place. Also read: “Congress in Rajkot would have met same fate as Surat if...” says Cong leader Surat Congress leader Nilesh Kumbhani ‘vanishes’ amid election controversy",surat
"Nilesh Kumbhani comes out of hibernation, blames Congress",https://english.gujaratsamachar.com/news/gujarat/nilesh-kumbhani-comes-out-of-hibernation-blames-congress,2024-04-26,26,04,2024,"Congress’ invalidated candidate on the Surat Lok Sabha seat, Nilesh Kumbhani, whose disqualification awarded BJP its first uncontested win in the election, has resurfaced after being unreachable for days. A video of Kumbhani surfaced today, where he said that he was ‘forced to come back’ due to the protests outside his house. He revealed that he had not gone absconding and was in constant contact with the Movdi Mandal. “I talked with Babubhai Mangukiya and told my family that Congress is with us, and we need not fear,” he is heard saying in the video. “With everyone’s cooperation, I went to Ahmedabad to file the petition, but Congress members protested against me at my home, forcing me to return,” stated the now ousted Congress leader. Kumbhani also mentioned Pratap Dudhat, who had earlier lashed out at him over his disqualification, did not pick up his calls and wasn’t even present while filing during the nomination. “When I had asked Dudhat to join me in rallies, he promised to accompany me when I file for the nomination. On his instructions, I chose a date to file the nomination after Amreli, but he stopped taking my calls.” Referring to Dudhat, Kumbhani said, “The one who talks about killing me today, had he been there while filing for the nomination, the situation would have been different.” Going after Congress leaders, Kumbhani stated that those protesting against him were involved with the BJP and weren’t there during the door-to-door campaigning. “They have done this before as well. I was left alone, and had to do everything by myself,” said Kumbhani. “No important names from Congress joined my rallies at the time of the campaign, too. The party had also asked for the booth details, and even with that no one came to help,” he said. “In the previous Vidhan Sabha elections, the BJP had asked many (Congress) leaders to notch down their campaigns, and they had obliged,” accused Kumbhani. Concluding his video, Kumbhani stated that he would not say anything that would hurt the Congress party. “I was, and will always be a soldier of Congress,” he said, ending the video. On Apr 20, Nilesh Kumbhani’s candidature for the Surat Lok Sabha constituency was cancelled when his supporters filed an affidavit stating their signatures on the nomination forms were forged. Following that, eight other candidates also pulled their nomination, serving BJP an uncontested first Lok Sabha victory on a platter. Also read: Congress suspends Nilesh Kumbhani over suspected BJP connections Wanted posters for Nilesh Kumbhani surface in Surat",surat
Congress suspends Nilesh Kumbhani over suspected BJP connections,https://english.gujaratsamachar.com/news/gujarat/congress-suspends-surats-nilesh-kumbhani-over-suspected-bjp-connections,2024-04-26,26,04,2024,"Nilesh Kumbhani suspended In the aftermath of the drama surrounding the rejection of Surat Lok Sabha Congress candidate Nilesh Kumbhani’s nomination form, the Congress disciplinary committee has ordered his suspension today for six years. Notably, the suspension order cites the reason behind the form rejection saga as Kumbhani’s negligence and his reported mingling with the BJP. The committee stated in a letter, “In the matter of the rejection of your (Nilesh Kumbhani’s) form, a situation of complete negligence on your part or your collusion with the BJP was clearly visible. Despite this, the disciplinary committee gave you enough time to come forward and present your side under the principles of natural justice. You must be aware that there is a lot of angst among the people of Surat as well as the Congress workers against you. You have been suspiciously absent and have not made any disclosure on your part, so the party has decided to suspend you for six years.” The letter also mentions, “The party had counted on you to raise your voice as the representative of Patidar communities and other people of Saurashtra who are based in Surat, but you have failed in doing so.” The disciplinary committee observed, “The rejection of the form is an extremely unfortunate incident. This type of situation is an extremely shameful incident.” Surat Lok Sabha form rejection saga The BJP filed a counter-application against Congress candidate Nilesh Kumbhani, which resulted in the cancellation of his nomination form on Apr 21. After his rejection, eight other candidates withdrew their nominations, leaving BJP’s Mukesh Dalal as the sole remaining candidate for the seat and its imminent winner. A Congress spokesperson mentioned that four supporters nominated Kumbhani. However, without any prior intimation, all four of them filed affidavits stating false signatures. This could not be a coincidence, said the spokesperson. They added that Kumbhani was missing for a few hours, and before they could locate him, all the other candidates withdrew their nominations, while Kumbhani’s form was rejected. Congress leader Nilesh Kumbhani seemed to have ‘vanished’ into thin air after this incident. Kumbhani was not reachable on the phone, raising alarms within his party and among his followers. On Apr 25, his wife revealed, “My husband is innocent, and he is in Ahmedabad. He will meet with Congress leaders and disclose the entire incident.” Also read: Wanted posters for Nilesh Kumbhani surface in Surat Nilesh Kumbhani under fire for Congress’ Surat Lok Sabha fiasco Surat Congress leader Nilesh Kumbhani ‘vanishes’ amid election controversy",surat
"Former AAP leaders Alpesh Kathiriya, Dharmik Malaviya to join BJP",https://english.gujaratsamachar.com/news/gujarat/aap-leaders-alpesh-kathiriya-dharmik-malaviya-to-join-bjp,2024-04-27,27,04,2024,"In a blow to the Aam Aadmi Party (AAP), Alpesh Kathiriya the key architect behind the AAP’s 27-seat win in the 2021 Surat Municipal Corporation (SMC) elections in Gujarat is set to join the BJP, along with his close aide Dharmik Malaviya today. Kathiriya, a former ABVP member, termed his decision to join the BJP as a return to his roots within the saffron fold, marking a full circle in his political career. Kathiriya and Malaviya, who gained prominence during the Patidar Anamat Andolan Samiti (PAAS) quota agitation, have significant influence among the Saurashtra-origin and Surat-based youths of the Patidar community. Their efforts were crucial in securing AAP’s first major electoral success in Gujarat. However, both faced setbacks as they did not succeed in the 2022 assembly elections as AAP candidates. Their departure from AAP, announced on Apr 18, precedes their formal joining of the BJP, which will be held at Mangadh Chowk in Surat. Gujarat BJP chief CR Patil will preside over the event, which is expected to draw over 200 supporters. (Source: IANS) -Edited for style Also read: Two AAP leaders resign in Gujarat before Lok Sabha Elections",surat
Rupala controversy: Kshatriyas hold Mahasammelan in Bardoli,https://english.gujaratsamachar.com/news/gujarat/rupala-controversy-kshatriyas-hold-mahasammelan-in-bardoli,2024-04-29,29,04,2024,"With elections around the corner in Gujarat, Kshatriya community stands firm on uprooting BJP in the state. The Rajputs, opposing Parshottam Rupala, the BJP Lok Sabha candidate from Rajkot, flocked in huge numbers to yet another ‘Asmita Mahasammelan’ in south Gujarat. A huge number of saffron turban-clad Kshatriyas and women adorning saffron sarees gathered to hold a public meeting at the ground of Kedareshwar Mahadev Temple in Bardoli on Apr 28. Speaking at Surat’s Bardoli, Rajput Sankalan Samiti spokesperson, Karansinh Chavda said, “We are not going to let you (BJP) win, you have dishonoured our women, we will not spare those who come for our integrity.” The Kshatriya community unanimously decided to reach their respective polling booths at 7 a.m. on May 7 and cast their vote against BJP. Kshatriyas across south Gujarat including Bharuch and Vapi, showed up at Bardoli Mahasammelan. Chavda sarcastically thanked BJP leader Parshottam Rupala and said that because of his derogatory remark on the community ‘the whole clan has met in unison today’. “Our weapons are our votes now, not swords and spears,” Chavda added. Kshatriyas have decided to cut votes on 10 out of 25 seats of BJP in Gujarat. Another speaker at the event, Truptiba Raol, women president of Gujarat Rajput Samaj Institutions said, “This is a fight for democracy and not a fight of casteism. But it is indeed a fight of pride for the caste. We will fight using our voting rights.” Also read: Rupala controversy: Kshatriyas flag off Dharma Rath Yatra, Mahasammelan across Guj “Congress in Rajkot would have met same fate as Surat if...” says Cong leader",surat
